unit,duration,partner,sex,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 
NR,N_GE1,WORLD,F,UK	: 	: 	17619030 	17898400 	17494000 	17194000 	17863000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,AT	: 	2757963 	2764390 	2705610 	2669297 	2630311 	2668200 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,BE	2952556 	2867770 b	2703452 	2641117 	2508833 	2708358 	2238746 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,BG	1006435 	1079496 	950010 	859206 	796566 	701532 	604460 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,CH	3083996 	3052391 	3017417 	2885066 	2849933 	2816653 	2723595 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,CY	246218 e	232752 e	237585 e	228118 e	210459 e	176412 e	265497 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,CZ	3455973 	3605583 	3576557 	3561985 	3639057 	3235667 	3290136 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,DE	26301520 	25390731 	27193532 	26371397 	25709424 	27463811 	27237866 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,DK	1622746 e	1663324 e	1855358 	1836327 	1900081 	1905729 	1705449 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,EA	91640865 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,EE	419278 	331693 	353075 	348022 	358537 	318779 	313601 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,EL	1881755 	1693141 	1533373 	1611393 	1711490 	1468616 	1662103 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,ES	13072932 	12514631 	12509898 	12028053 b	10105471 	10163854 	10081757 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,EU25	129896663 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,EU27	133176068 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,EU28	133999680 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,FI	2028923 	2029081 	2028904 	1993153 	1986407 	1982730 	2015086 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,FR	18638090 	18455713 	20057065 	18501915 	18022171 	18191879 	18041159 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,HR	823612 	800664 	822578 	820889 b	841562 	952490 	914024 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,HU	2346173 	2282319 	2252068 	2149807 	2111590 	2032307 	2061944 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,IE	1399466 	1349442 	1324177 	1276577 	1270667 	1190073 	1223183 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,IT	11614159 	10531101 	10611111 	10709058 	9573269 b	10381886 	12362510 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,LT	626083 	644764 	653049 	684277 	686708 	696932 	627159 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,LU	206349 	202990 	197083 	196755 	191795 	195089 	171847 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,LV	: 	431837 	437542 	428297 	405985 	419176 	372239 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,ME	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,MK	241754 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,MT	137349 	130262 	116473 	94944 	95768 	87741 	91206 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,NL	5990331 	5842295 	5778580 	5605981 	5615245 	5734323 	5690439 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,NO	1941750 	1844275 	1772712 	1786318 	1783209 	1761306 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,PL	9580113 	9124692 	8798719 	8404529 	8215797 	8790000 	7320000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,PT	1785478 	1720735 	1758967 	1750135 	1614640 	1583076 	1587231 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,RO	2272970 	2265428 	2041208 	2233239 	2152547 	2142593 	1940094 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,SE	3144739 	3009552 b	3221438 	3269872 	2991930 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,SI	606635 	554513 	590625 	556219 	537628 e	535989 e	571209 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,SK	1651887 	1551485 	1522717 	1394008 	1193213 	1250527 b	1172468 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,M,UK	: 	: 	16964470 	16667100 	16844100 	16638000 	16285000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,AT	: 	5668361 	5661092 	5545035 	5511799 	5467644 	5437926 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,BE	6065208 	5838576 b	5825439 	5480598 	5255288 	5708759 	4534221 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,BG	2067347 	2127469 	1841067 	1763434 	1612329 	1398293 	1201165 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,CH	6224641 	6134362 	6116881 	5891862 	5754804 	5711495 	5640555 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,CY	507317 e	491783 e	491014 e	476250 e	444501 e	373406 e	544925 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,CZ	6995226 	7284097 	7214653 	7190847 	7495851 	6580964 	6724164 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,DE	53945660 	51707246 	53761868 	53820334 	53295033 	54860590 	54801532 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,DK	3400682 e	3404878 e	3832039 	3765894 	3864593 	3837602 	3553989 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,EA	188095709 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,EE	877354 	746057 	759058 	729477 	787749 	699962 	685717 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,EL	3915849 	3592564 	3249406 	3380943 	3578609 	3050958 	3482938 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,ES	26500895 	25665519 	25614204 	24449869 b	20869290 	21114718 	20813614 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,EU25	266738955 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,EU27	273207308 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,EU28	274894828 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,FI	4088482 	4086639 	4079587 	4035811 	4032299 	4014698 	4061736 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,FR	39136047 	38695712 	38049563 	38689286 	38229887 	38480199 	38380851 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,HR	1687520 	1564984 	1597525 	1559333 b	1781473 	1710521 	1909309 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,HU	4907937 	4791341 	4728742 	4523655 	4482218 	4318166 	4354928 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,IE	2894173 	2833130 	2794153 	2688271 	2662137 	2534005 	2545174 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,IT	23338194 	21540692 	21802773 	21806405 	19726341 b	21648795 	24998498 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,LT	1368814 	1399279 	1412182 	1453527 	1454396 	1426056 	1329514 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,LU	409408 	401800 	389553 	389075 	376984 	378419 	341767 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,LV	: 	930819 	963281 	915729 	878919 	889146 	791292 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,ME	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,MK	501285 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,MT	267058 	251186 	217996 	186655 	191974 	182068 	175406 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,NL	12046574 	12039526 	11881447 	11498436 	11485661 	11604547 	11630639 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,NO	3767905 	3656232 	3548172 	3542764 	3520879 	3508979 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,PL	20035352 	19180052 	18375208 	17447589 	17199994 	17050000 	15660000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,PT	3910378 	3712984 	3767951 	3698666 	3429793 	3364354 	3299493 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,RO	4401006 	4380527 	3961003 	4357576 	4201139 	4230146 	3874801 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,SE	6326802 	6048527 b	6487885 	6592772 	6130000 	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,SI	1222193 	1152354 	1170373 	1101410 	1105720 e	1081948 e	1120255 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,SK	3363601 	3246263 	3039212 	2760910 	2455999 	2566368 b	2488503 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE1,WORLD,T,UK	: 	: 	34583500 	34565500 	34338000 	33832000 	34148000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,AT	: 	345313 	309727 	330293 	340484 	307096 	341094 	371350 	350949 	394248 	408965 	394400 	650711 	385639 	602090 	638210 	357006 	441014 	374518 	420688 	386500 	: 	: 	: 	: 
NR,N_GE4,DOM,F,BE	143772 	135858 b	104738 u	130508 	115009 	127937 	185529 	219036 	170148 	243919 	230445 	199479 	258335 	264448 	274716 	255135 	255425 	235652 	: 	265914 	372524 	: 	486014 	: 	: 
NR,N_GE4,DOM,F,BG	624268 	626881 	509534 	569074 	468956 	359703 	295435 b	475470 e	454667 e	653283 e	461671 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,CH	217667 u	233775 u	256584 u	241398 u	304413 	316925 	339342 u	425117 	369086 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,CY	47906 e	47368 e	43867 e	54932 e	38573 e	28470 e	28544 e	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,CZ	1043551 	1174345 	1154430 	1182908 	1374298 	1142315 	1055005 	1047796 	1546703 	1346021 e	1083013 e	1131917 	1071897 	1128548 	1087866 	1061910 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,DE	4718873 	4652472 	5455798 	6232478 	6395668 	6041503 	5721886 	8161802 	7915649 	9655236 e	9147979 	8580298 	8902364 	10217404 	7197000 	7953000 	8092000 	9813000 	8960000 	: u	: u	: u	: 	: 	: 
NR,N_GE4,DOM,F,DK	440011 e	406455 e	514694 	484176 	466565 	436939 	415004 	350801 	267115 	244704 	207839 	222051 	222051 	342775 	312541 	418200 	350500 	358700 	418100 	346700 	381800 	398000 	461400 	: 	: 
NR,N_GE4,DOM,F,EA	33003312 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,EE	47256 u	78686 u	51942 u	50513 	66453 	63947 	65038 b	: u	: u	49436 	36798 	46984 	39988 	69342 	67550 	63782 	92808 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,EL	1439101 	1364212 	1176250 	1242750 	1344095 	1135923 	1243685 	1306067 	1417513 	1794602 	1746201 	1806863 	1915831 	2006502 	1544491 	1882007 	1825443 	1885478 	2007496 	1910663 	2583567 	2821867 	3368982 	1610779 	1610779 
NR,N_GE4,DOM,F,ES	6730712 	6526331 	6707747 	6326479 b	5806894 	6110136 	5809018 	6106752 	5673851 	6339391 	6536797 	6597756 	6758562 	6141914 	6115798 	10099616 	9848044 	8367684 	13226496 	10052113 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,EU25	44932827 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,EU27	46302103 e	: 	: 	: 	: 	: 	: 	55173862 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,EU28	46726439 e	: 	: 	: 	: 	: 	: 	55626021 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,FI	582245 	621505 	609359 	641128 	684300 	656512 	665723 b	582000 	582000 	593000 	546000 	673000 	546000 	618000 	615000 	688000 	640000 	656000 	613000 	575000 	647000 	614000 	557000 	: 	647000 
NR,N_GE4,DOM,F,FR	9714912 	9964028 	10096949 	11693899 	11667755 	11867887 	12124166 	11929888 	12082294 	12108810 	12169913 	12497140 	12459532 	12366722 	10644000 	10802000 	: 	10508000 	10463000 	10699000 	10876000 	10864000 	: 	: 	: 
NR,N_GE4,DOM,F,HR	424336 	387465 	399160 	367682 b	448231 	308252 	440017 	452159 	473166 	460561 	437636 	406140 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,HU	805444 	748563 	843180 	849277 	885689 	868612 	884837 b	785510 	1403958 	1423788 	1625958 	960722 	1219856 	1604207 	1553018 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,IE	115410 	163678 	155518 	177497 	169427 	175866 	151022 	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	280000 	: 	480000 	: 	: 	: 	: 
NR,N_GE4,DOM,F,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43374 	: 	: 
NR,N_GE4,DOM,F,IT	6426787 	5858311 	5676691 	6495049 	5719144 b	6492077 	7249151 	7561405 	8002107 	8106903 	7929570 	9321121 	9261065 	9125522 	9107487 	9153209 	9057644 	8885053 	8604094 	8057171 	8261795 	9100103 	: 	: 	: 
NR,N_GE4,DOM,F,LT	61947 	62797 	63602 	73140 	79157 	70493 	65616 	136419 	138712 	157725 	122198 	76062 	90627 	77095 	186752 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,LU	: c	: c	: c	: c	799 	0 u	892 	0 	531 	: u	: u	: u	: 	1000 	1000 	1000 	1000 	: 	: 	2000 	1000 	1000 	: 	: 	: 
NR,N_GE4,DOM,F,LV	: 	57325 	58167 	56283 	45688 	62719 	57563 	70647 	76382 	88839 	88172 	82182 	94868 	112203 	135331 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,ME	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,MK	32389 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,MT	12282 	9835 	8911 	10275 	12855 	12218 	12758 b	11306 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,NL	1049590 	1153339 	1255482 	1140883 	1180714 	1190968 	1307946 b	897000 	944000 	978000 	913000 	1029000 	1076000 	1027000 	1070000 	1004000 	1099000 	1196000 	1192000 	1177000 	1098000 	: 	: 	: 	: 
NR,N_GE4,DOM,F,NO	282506 	278257 	366920 	229558 	272633 	212662 	: 	262432 	334086 	334086 	318607 	343801 	429080 	381487 	383106 	469967 	375229 	430377 	497257 	510468 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,PL	4825437 	4729253 	4500652 	4233642 	3924230 	4020000 	4440000 	3577000 e	3765000 	4559000 	4328000 	4023000 	4222000 	4372000 	4284000 e	4990000 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,PT	997600 	974087 	983670 	932174 	876818 	966445 	750274 	821350 	808431 	888221 	603623 	643712 	935702 	1015082 	1006594 	1037696 	1154712 	1221546 	1070608 	1158432 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,RO	745008 	704197 	675303 	756365 	750545 	787475 	800625 	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,SE	534121 	421952 b	453541 	480316 	449670 	: 	1569916 	1552891 	1617520 	1479682 	1516259 	1452310 	1556876 	: 	: 	: 	: 	: 	: 	: 	: 	2059000 	: 	: 	: 
NR,N_GE4,DOM,F,SI	76346 	66017 	78090 	65921 	82281 e	73309 e	77378 	83000 	108000 	103000 	99928 	110098 	100294 	115563 	107438 	119522 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,SK	506666 	417394 	400054 	384601 	304010 	372544 b	346955 	394861 	331454 	548989 	400271 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,F,UK	: 	: 	4228220 	4043300 	4089300 	4930200 	6088000 	6323000 	5819000 	6256000 	5526000 	5661000 	5586000 	5697000 	4260000 	4550000 	5164000 	5213000 	5443000 	6750000 	8700000 	8870000 	8510000 	: 	: 
NR,N_GE4,DOM,M,AT	: 	301244 	332467 	294283 	295863 	286537 	357193 	314192 	307815 	345740 	334966 	322120 	674849 	340959 	515961 	495451 	320977 	392018 	328300 	356359 	354600 	: 	: 	: 	: 
NR,N_GE4,DOM,M,BE	134029 	121350 b	98509 u	98432 u	82884 	138968 	158017 	175119 	143609 	191493 	227398 	228485 	229576 	254423 	243299 	234636 	233500 	227938 	: 	239141 	323355 	: 	449266 	: 	: 
NR,N_GE4,DOM,M,BG	580170 	677293 	569086 	546285 	461820 	399938 	289290 b	390798 e	421915 e	550407 e	414399 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,CH	246011 u	281108 u	270663 u	257432 u	265021 u	243748 u	312614 u	484666 	334327 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,CY	46638 e	44262 e	45971 e	57882 e	35463 e	22122 e	29927 e	: u	: u	: u	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,CZ	993462 	1202251 	1243697 	1118487 	1287841 	1046740 	1015044 	1019431 	1322099 	1293640 e	1089279 e	1149827 	1088858 	1263104 	1217572 	1081436 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,DE	4225970 	4852189 	5048842 	4861968 	4787502 	5006878 	5639893 	7069389 	7443393 	8894838 e	6895452 	6554095 	8459107 	7943880 	6719000 	5920000 	6341000 	9069000 	8217000 	: u	: u	: u	: 	: 	: 
NR,N_GE4,DOM,M,DK	423587 e	329553 e	409190 	440519 	491180 	454144 	388062 	345543 	206228 	216690 	258860 	207951 	207951 	284761 	283316 	378700 	321100 	301000 	355500 	320100 	359600 	290000 	386600 	: 	: 
NR,N_GE4,DOM,M,EA	30932801 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,EE	41932 u	: c	69913 u	53120 	53656 	48936 	54310 b	: u	: u	46665 	: u	36007 	31105 	47783 	40525 	43585 	53662 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,EL	1313734 	1235287 	1060048 	1098296 	1249468 	1053702 	1117166 	1212135 	1260850 	1713189 	1734000 	1733814 	1746730 	1884738 	1369781 	1698225 	1668535 	1691227 	1895153 	1665024 	2316540 	2663353 	3076813 	1506216 	1506216 
NR,N_GE4,DOM,M,ES	6347293 	6024165 	6372482 	6201633 b	5386230 	5514585 	5346376 	5580738 	5201307 	5798835 	6037804 	6089388 	6253065 	5474558 	5685887 	9064850 	8954482 	7362937 	11881693 	9602182 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,EU25	42042774 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,EU27	43397539 e	: 	: 	: 	: 	: 	: 	49253825 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,EU28	43791122 e	: 	: 	: 	: 	: 	: 	49571371 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
NR,N_GE4,DOM,M,FI	657484 	574564 	651342 	696605 	640817 	616987 	644300 b	594000 	570000 	543000 	589000 	586000 	520000 	551000 	567000 	613000 	632000 	545000 	582000 	549000 	542000 	615000 	547000 	: 	542000 
NR,N_GE4,DOM,M,FR	9252698 	8934471 	11334486 	10582668 	10468703 	10650592 	10750063 	11010112 	10776986 	11407853 	11304663 	11087143 	11033952 	11311054 	9536000 	9861000 	: 	9720000 	9377000 	9671000 	9663000 	10100000 	: 	: 	: 
