unit,purpose,duration,partner,sex,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
THS_EUR,PERS,N1-3,DOM,T,BE	350750.22 	346106.11 b	268493.33 	350499.98 	225324.19 	282559.75 	244673.7 	259568 	190313 	208361 	220332 	238718 	202608 	326343 	354317 	268772 	211942 	191581 	209822 	160660 	153317 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,BG	145734.67 	173655.3 	110528.56 	103411.01 	162008.16 	131436.61 	117381.31 b	287514 	332806 	407011 	290940 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,CH	754467.12 	908959.43 	902648.07 	867966.81 	802639.94 	891896.36 	723739.41 	742623 	606331 	689881 	684138 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,CY	129620.01 	121395.98 	107557.56 	101756.47 	104826.99 	82144.51 	66034.09 b	28370 	29631 	: 	288826 	284941 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,CZ	844215.86 	824972.3 	725201.02 	627175.44 	587701.59 	566020.34 	601801.5 	672999 	436362 	590692 	673946 	517981 	516768 	480916 	429875 	514190 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,DE	16292805.6 	13172793.97 	13489819.56 	13724107.36 	12723397.25 	14640156.16 	13659349.25 	14457950 	14978000 	14259900 	13269800 	12420000 	5345381 	4452654 	4418000 	7434000 	4400000 	2177081 	2556463 	4374562 	3242650 	2464085 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,DK	1850631.28 	3695902.54 	3471648.75 	3254787.43 	3804051.36 b	3415845.5 b	1658801.99 	1891276 	2053429 	1380367 	1169511 	444662 	490140 	318760 	266401 	407055 	313181 	291798 	291730 	274505 	325097 	300390 	338875 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,EE	431834.98 	191024.59 	173756.59 	154671.28 	118488.01 	79050.4 	69581.92 	78618 	71036 	28347 	28118 	29406 	80142 	65595 	35690 	29054 	21681 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,EL	255091.77 	206643 	193492.75 	203928.14 	214047.73 	167120.75 	274190.62 	441100 	521821 	708496 	708570 	758265 	: 	: 	: 	: 	: 	: 	: 	: 	148085 	203238 	319662 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,ES	10782407.63 	10298583.43 	9264929.74 	8418607.26 b	6357128.08 	6372824.09 	6348553.43 	6037745 	5786412 	5976805 	5862581 	5078745 	6032942 	6568481 	4413436 	4331045 	3685263 	3655984 	3332233 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,FI	2992603.05 	2986597.16 	2884047.47 	2930696.68 	2838131.51 	3075514.35 	3179220.68 b	2932000 	2951000 	2508000 	2525000 	2292000 	2152000 	2178000 	1938000 	1862000 	1536000 	1486109 	1661360 	657111 	625155 	627357 	584231 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,FR	11440989.6 	13613974.99 	11466563.94 	11481802.59 	12672459.76 	12266654.44 	12403848.56 b	11065911 	9976630 	9921359 	18511000 	23773000 	22213000 	21271000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,HR	155586.63 	136713.52 	123298.14 	154173.85 	235661.41 	282374.58 	238508.66 	267996 	292289 	225012 	231611 	167810 	: 	: 	318817 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,HU	548150.02 	550419.97 	476846.01 	463800.01 	425073.92 	365598.41 	427972.81 	491917 	443020 	414233 	566236 	626525 	530871 	450699 	358540 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,IE	1096223.94 	1007655.72 	936724.73 	881141.98 	763306.94 	713903.17 	710416.44 	623100 	687000 	533000 	674000 	632900 	559100 	405400 	332000 	299500 	269900 	245100 	358066 	344784 	331957 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,IT	4281460.44 	3789711.8 	4006239.35 	3182930.75 	2664743.92 b	2715778.83 	3638688.57 	3753899 	4589078 	5437892 	5990839 	5120358 	4769129 	4715352 	3800407 	3771017 	3628900 	3211202 	3084116 	3129225 	3234076 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,LT	122022.73 	113377.99 	103850.89 	98605.28 	84394.8 	70238.07 	76251.83 	69909 	65167 	63442 	74190 	66903 	50086 	41594 	34644 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,LU	5545.89 	2953.94 	2962.9 u	3619.04 u	5610.72 	8184.42 	3640.28 	730 	: u	: u	760 	: 	5516 	4740 	6888 	5824 	3704 	9830 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,LV	96465.28 	96964.57 	87553.23 	89146.36 	87922.42 	97069.94 	98562.41 	79857 	76956 	73278 	85583 	84061 	71153 	58326 	: 	35349 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,MT	29377.36 	30590.96 	30276.51 	23404.06 	23056.86 b	17479.11 	20592.74 	17763 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,NL	1739389.75 	1436251.06 	1381433.35 	1238397.72 	1212119.69 	1161548.32 	1231365.15 b	860000 	854000 	811000 	810000 	815000 	715000 	687000 	707000 	731000 	827000 	551000 	533645 	502335 	505030 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,NO	2618468.58 	2246129.42 	1984230.14 	1949039.44 	2073311.04 	1743094.64 	: 	1695537 	1499319 	1325993 	1504797 	1325392 	147607 	1552340 	1341028 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,PL	: 	1859631.79 	1589957.15 	1386776.23 	1153214.2 b	2457222.72 	2637260.92 	613988 e	688412 	688603 	1042111 	985807 	631433 e	546856 e	550057 e	579601 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,PT	794846.75 	703420.78 	593336.11 	594962.29 	519632.98 	375931.28 	405358.43 	365953 	432326 	565571 	: u	258957 	353134 	363312 	373015 	283019 	313569 	307448 	292086 	283707 	240644 	239828 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,RO	: 	820711.11 	768882.77 	666266 	632149.61 	591999.3 	474353.41 	321381 	281955 	320766 	258521 	: 	: 	: 	11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,SE	: 	: 	2467830.78 	2413757.05 	1878830.75 	: 	: 	2995858 	2955973 	2442392 	2384558 	2433920 	2604383 	: 	: 	: 	: 	: 	: 	: 	: 	1976273 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,SI	119021.75 	93663.85 	86760.32 	77051.98 	99678.5 	98135.66 	97417.87 	96999 	112900 	120810 	80499 	76947 	87614 	59161 	51575 	39996 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,SK	460845.11 	521409.95 	392681.4 	302901.57 	274000.48 	227522.69 b	231232.59 	195480 	189168 	123119 	120397 	112875 	81459 	82516 	82821 	75574 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,DOM,T,UK	: 	: 	: 	: 	: 	10481544.02 	: u	8257160 	8391716 	9139785 	9829457 	10494783 	10724187 	10982743 	10752807 	11730177 	13856028 	13074835 	12893328 	5378642 	4593797 	4490802 	3246506 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,F,AT	781060.04 	663035.36 	600451.86 	599735.91 	628932.64 	540972.13 	551742.49 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,F,BE	524440.34 	489439.84 b	529499.15 	371343.38 	374822.86 	390927.9 	296681.57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,F,BG	34321.9 	17151.62 	20097.37 	14890.74 	19422.18 	17457.7 	14708.07 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
THS_EUR,PERS,N1-3,OUT,F,CH	843622.35 	791600.88 	734847.77 	761798.42 	656597.65 	757806.38 	695167.72 	562754 	477497 	472312 	571375 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
