"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","TRA_MODE","Value","Flag and Footnotes"
"2014","Belgium","Number","Total","1 night or over","Domestic","Total","2,253,573",""
"2014","Belgium","Number","Total","1 night or over","Domestic","Air",":",""
"2014","Belgium","Number","Total","1 night or over","Domestic","Land","2,250,733",""
"2014","Belgium","Number","Total","1 night or over","Domestic","Railways","192,750",""
"2014","Belgium","Number","Total","1 night or over","Domestic","Bus, coach","47,937","u"
"2014","Belgium","Number","Total","1 night or over","Domestic","Motor vehicle","1,993,400",""
"2014","Belgium","Number","Total","1 night or over","Domestic","Waterway",":","u"
"2014","Belgium","Number","Total","1 night or over","Outbound","Total","10,777,700",""
"2014","Belgium","Number","Total","1 night or over","Outbound","Air","3,962,198",""
"2014","Belgium","Number","Total","1 night or over","Outbound","Land","6,726,841",""
"2014","Belgium","Number","Total","1 night or over","Outbound","Railways","646,775",""
"2014","Belgium","Number","Total","1 night or over","Outbound","Bus, coach","514,812",""
"2014","Belgium","Number","Total","1 night or over","Outbound","Motor vehicle","5,481,105",""
"2014","Belgium","Number","Total","1 night or over","Outbound","Waterway","88,660",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Total","13,031,273",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Air","3,962,198",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Land","8,977,574",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Railways","839,525",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Bus, coach","562,748",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Motor vehicle","7,474,505",""
"2014","Belgium","Number","Total","1 night or over","All countries of the world","Waterway","91,500",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Total","1,471,022",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Air",":",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Land","1,471,022",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Railways","118,442",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Bus, coach","17,639","u"
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Motor vehicle","1,321,104",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Domestic","Waterway",":",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Outbound","Total","3,425,321",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Outbound","Air","696,911",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Outbound","Land","2,712,065",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Outbound","Railways","421,700",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Outbound","Bus, coach","189,351",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Outbound","Motor vehicle","2,074,836",""
"2014","Belgium","Number","Total","From 1 to 3 nights","Outbound","Waterway",":","u"
"2014","Belgium","Number","Total","From 1 to 3 nights","All countries of the world","Total","4,896,343",""
"2014","Belgium","Number","Total","From 1 to 3 nights","All countries of the world","Air","696,911",""
"2014","Belgium","Number","Total","From 1 to 3 nights","All countries of the world","Land","4,183,087",""
"2014","Belgium","Number","Total","From 1 to 3 nights","All countries of the world","Railways","540,141",""
"2014","Belgium","Number","Total","From 1 to 3 nights","All countries of the world","Bus, coach","206,990",""
"2014","Belgium","Number","Total","From 1 to 3 nights","All countries of the world","Motor vehicle","3,395,940",""
"2014","Belgium","Number","Total","From 1 to 3 nights","All countries of the world","Waterway",":","u"
"2014","Belgium","Number","Total","4 nights or over","Domestic","Total","782,551",""
"2014","Belgium","Number","Total","4 nights or over","Domestic","Air",":",""
"2014","Belgium","Number","Total","4 nights or over","Domestic","Land","779,711",""
"2014","Belgium","Number","Total","4 nights or over","Domestic","Railways","74,308","u"
"2014","Belgium","Number","Total","4 nights or over","Domestic","Bus, coach",":","u"
"2014","Belgium","Number","Total","4 nights or over","Domestic","Motor vehicle","672,296",""
"2014","Belgium","Number","Total","4 nights or over","Domestic","Waterway",":","u"
"2014","Belgium","Number","Total","4 nights or over","Outbound","Total","7,352,379",""
"2014","Belgium","Number","Total","4 nights or over","Outbound","Air","3,265,287",""
"2014","Belgium","Number","Total","4 nights or over","Outbound","Land","4,014,776",""
"2014","Belgium","Number","Total","4 nights or over","Outbound","Railways","225,075",""
"2014","Belgium","Number","Total","4 nights or over","Outbound","Bus, coach","325,461",""
"2014","Belgium","Number","Total","4 nights or over","Outbound","Motor vehicle","3,406,269",""
"2014","Belgium","Number","Total","4 nights or over","Outbound","Waterway","72,316","u"
"2014","Belgium","Number","Total","4 nights or over","All countries of the world","Total","8,134,930",""
"2014","Belgium","Number","Total","4 nights or over","All countries of the world","Air","3,265,287",""
"2014","Belgium","Number","Total","4 nights or over","All countries of the world","Land","4,794,487",""
"2014","Belgium","Number","Total","4 nights or over","All countries of the world","Railways","299,383",""
"2014","Belgium","Number","Total","4 nights or over","All countries of the world","Bus, coach","355,759",""
"2014","Belgium","Number","Total","4 nights or over","All countries of the world","Motor vehicle","4,078,565",""
"2014","Belgium","Number","Total","4 nights or over","All countries of the world","Waterway","75,156",""
"2014","Belgium","Number","Personal reasons","1 night or over","Domestic","Total","2,202,277",""
"2014","Belgium","Number","Personal reasons","1 night or over","Domestic","Air",":",""
"2014","Belgium","Number","Personal reasons","1 night or over","Domestic","Land","2,202,277",""
"2014","Belgium","Number","Personal reasons","1 night or over","Domestic","Railways","184,394",""
"2014","Belgium","Number","Personal reasons","1 night or over","Domestic","Bus, coach","40,460","u"
"2014","Belgium","Number","Personal reasons","1 night or over","Domestic","Motor vehicle","1,961,734",""
"2014","Belgium","Number","Personal reasons","1 night or over","Domestic","Waterway",":",""
"2014","Belgium","Number","Personal reasons","1 night or over","Outbound","Total","9,864,730",""
"2014","Belgium","Number","Personal reasons","1 night or over","Outbound","Air","3,523,699",""
"2014","Belgium","Number","Personal reasons","1 night or over","Outbound","Land","6,262,554",""
"2014","Belgium","Number","Personal reasons","1 night or over","Outbound","Railways","508,802",""
"2014","Belgium","Number","Personal reasons","1 night or over","Outbound","Bus, coach","443,910",""
"2014","Belgium","Number","Personal reasons","1 night or over","Outbound","Motor vehicle","5,235,068",""
"2014","Belgium","Number","Personal reasons","1 night or over","Outbound","Waterway","78,478",""
"2014","Belgium","Number","Personal reasons","1 night or over","All countries of the world","Total","12,067,008",""
"2014","Belgium","Number","Personal reasons","1 night or over","All countries of the world","Air","3,523,699",""
"2014","Belgium","Number","Personal reasons","1 night or over","All countries of the world","Land","8,464,832",""
"2014","Belgium","Number","Personal reasons","1 night or over","All countries of the world","Railways","693,196",""
"2014","Belgium","Number","Personal reasons","1 night or over","All countries of the world","Bus, coach","484,370",""
"2014","Belgium","Number","Personal reasons","1 night or over","All countries of the world","Motor vehicle","7,196,802",""
"2014","Belgium","Number","Personal reasons","1 night or over","All countries of the world","Waterway","78,478",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Domestic","Total","1,435,782",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Domestic","Air",":",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Domestic","Land","1,435,782",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Domestic","Railways","110,302",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Domestic","Bus, coach",":","u"
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Domestic","Motor vehicle","1,299,439",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Domestic","Waterway",":",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Outbound","Total","2,884,899",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Outbound","Air","477,083",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Outbound","Land","2,393,126",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Outbound","Railways","308,911",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Outbound","Bus, coach","144,338",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Outbound","Motor vehicle","1,918,241",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","Outbound","Waterway",":","u"
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Total","4,320,681",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Air","477,083",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Land","3,828,908",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Railways","419,213",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Bus, coach","157,421",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Motor vehicle","3,217,680",""
"2014","Belgium","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Waterway",":","u"
"2014","Belgium","Number","Personal reasons","4 nights or over","Domestic","Total","766,495",""
"2014","Belgium","Number","Personal reasons","4 nights or over","Domestic","Air",":",""
"2014","Belgium","Number","Personal reasons","4 nights or over","Domestic","Land","766,495",""
"2014","Belgium","Number","Personal reasons","4 nights or over","Domestic","Railways","74,093","u"
"2014","Belgium","Number","Personal reasons","4 nights or over","Domestic","Bus, coach",":","u"
"2014","Belgium","Number","Personal reasons","4 nights or over","Domestic","Motor vehicle","662,295",""
"2014","Belgium","Number","Personal reasons","4 nights or over","Domestic","Waterway",":",""
"2014","Belgium","Number","Personal reasons","4 nights or over","Outbound","Total","6,979,832",""
"2014","Belgium","Number","Personal reasons","4 nights or over","Outbound","Air","3,046,615",""
"2014","Belgium","Number","Personal reasons","4 nights or over","Outbound","Land","3,869,428",""
"2014","Belgium","Number","Personal reasons","4 nights or over","Outbound","Railways","199,891",""
"2014","Belgium","Number","Personal reasons","4 nights or over","Outbound","Bus, coach","299,571",""
"2014","Belgium","Number","Personal reasons","4 nights or over","Outbound","Motor vehicle","3,316,827",""
"2014","Belgium","Number","Personal reasons","4 nights or over","Outbound","Waterway","63,788","u"
"2014","Belgium","Number","Personal reasons","4 nights or over","All countries of the world","Total","7,746,327",""
"2014","Belgium","Number","Personal reasons","4 nights or over","All countries of the world","Air","3,046,615",""
"2014","Belgium","Number","Personal reasons","4 nights or over","All countries of the world","Land","4,635,923",""
"2014","Belgium","Number","Personal reasons","4 nights or over","All countries of the world","Railways","273,984",""
"2014","Belgium","Number","Personal reasons","4 nights or over","All countries of the world","Bus, coach","326,949",""
"2014","Belgium","Number","Personal reasons","4 nights or over","All countries of the world","Motor vehicle","3,979,122",""
"2014","Belgium","Number","Personal reasons","4 nights or over","All countries of the world","Waterway","63,788","u"
"2014","Belgium","Number","Professional, business","1 night or over","Domestic","Total","51,296",""
"2014","Belgium","Number","Professional, business","1 night or over","Domestic","Air",":",""
"2014","Belgium","Number","Professional, business","1 night or over","Domestic","Land","48,455",""
"2014","Belgium","Number","Professional, business","1 night or over","Domestic","Railways",":","u"
"2014","Belgium","Number","Professional, business","1 night or over","Domestic","Bus, coach",":","u"
"2014","Belgium","Number","Professional, business","1 night or over","Domestic","Motor vehicle","31,666","u"
"2014","Belgium","Number","Professional, business","1 night or over","Domestic","Waterway",":","u"
"2014","Belgium","Number","Professional, business","1 night or over","Outbound","Total","912,969",""
"2014","Belgium","Number","Professional, business","1 night or over","Outbound","Air","438,500",""
"2014","Belgium","Number","Professional, business","1 night or over","Outbound","Land","464,287",""
"2014","Belgium","Number","Professional, business","1 night or over","Outbound","Railways","137,973",""
"2014","Belgium","Number","Professional, business","1 night or over","Outbound","Bus, coach","70,902","u"
"2014","Belgium","Number","Professional, business","1 night or over","Outbound","Motor vehicle","246,037",""
"2014","Belgium","Number","Professional, business","1 night or over","Outbound","Waterway",":","u"
"2014","Belgium","Number","Professional, business","1 night or over","All countries of the world","Total","964,265",""
"2014","Belgium","Number","Professional, business","1 night or over","All countries of the world","Air","438,500",""
"2014","Belgium","Number","Professional, business","1 night or over","All countries of the world","Land","512,742",""
"2014","Belgium","Number","Professional, business","1 night or over","All countries of the world","Railways","146,328",""
"2014","Belgium","Number","Professional, business","1 night or over","All countries of the world","Bus, coach","78,379",""
"2014","Belgium","Number","Professional, business","1 night or over","All countries of the world","Motor vehicle","277,703",""
"2014","Belgium","Number","Professional, business","1 night or over","All countries of the world","Waterway",":","u"
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Domestic","Total","35,240","u"
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Domestic","Air",":",""
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Domestic","Land","35,240","u"
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Domestic","Railways",":","u"
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Domestic","Bus, coach",":","u"
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Domestic","Motor vehicle","21,665","u"
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Domestic","Waterway",":",""
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Outbound","Total","540,422",""
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Outbound","Air","219,828",""
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Outbound","Land","318,939",""
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Outbound","Railways","112,789",""
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Outbound","Bus, coach","45,013","u"
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Outbound","Motor vehicle","156,594",""
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","Outbound","Waterway",":","u"
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","All countries of the world","Total","575,662",""
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","All countries of the world","Air","219,828",""
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","All countries of the world","Land","354,179",""
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","All countries of the world","Railways","120,929",""
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","All countries of the world","Bus, coach","49,569","u"
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","All countries of the world","Motor vehicle","178,260",""
"2014","Belgium","Number","Professional, business","From 1 to 3 nights","All countries of the world","Waterway",":","u"
"2014","Belgium","Number","Professional, business","4 nights or over","Domestic","Total",":","u"
"2014","Belgium","Number","Professional, business","4 nights or over","Domestic","Air",":",""
"2014","Belgium","Number","Professional, business","4 nights or over","Domestic","Land",":","u"
"2014","Belgium","Number","Professional, business","4 nights or over","Domestic","Railways",":","u"
"2014","Belgium","Number","Professional, business","4 nights or over","Domestic","Bus, coach",":","u"
"2014","Belgium","Number","Professional, business","4 nights or over","Domestic","Motor vehicle",":","u"
"2014","Belgium","Number","Professional, business","4 nights or over","Domestic","Waterway",":","u"
"2014","Belgium","Number","Professional, business","4 nights or over","Outbound","Total","372,547",""
"2014","Belgium","Number","Professional, business","4 nights or over","Outbound","Air","218,672",""
"2014","Belgium","Number","Professional, business","4 nights or over","Outbound","Land","145,348",""
"2014","Belgium","Number","Professional, business","4 nights or over","Outbound","Railways","25,184","u"
"2014","Belgium","Number","Professional, business","4 nights or over","Outbound","Bus, coach","25,889","u"
"2014","Belgium","Number","Professional, business","4 nights or over","Outbound","Motor vehicle","89,442",""
"2014","Belgium","Number","Professional, business","4 nights or over","Outbound","Waterway",":","u"
"2014","Belgium","Number","Professional, business","4 nights or over","All countries of the world","Total","388,603",""
"2014","Belgium","Number","Professional, business","4 nights or over","All countries of the world","Air","218,672",""
"2014","Belgium","Number","Professional, business","4 nights or over","All countries of the world","Land","158,564",""
"2014","Belgium","Number","Professional, business","4 nights or over","All countries of the world","Railways","25,400","u"
"2014","Belgium","Number","Professional, business","4 nights or over","All countries of the world","Bus, coach","28,810","u"
"2014","Belgium","Number","Professional, business","4 nights or over","All countries of the world","Motor vehicle","99,443",""
"2014","Belgium","Number","Professional, business","4 nights or over","All countries of the world","Waterway",":","u"
"2014","Bulgaria","Number","Total","1 night or over","Domestic","Total","3,170,122",""
"2014","Bulgaria","Number","Total","1 night or over","Domestic","Air",":",""
"2014","Bulgaria","Number","Total","1 night or over","Domestic","Land","3,170,122",""
"2014","Bulgaria","Number","Total","1 night or over","Domestic","Railways","126,200",""
"2014","Bulgaria","Number","Total","1 night or over","Domestic","Bus, coach","576,324",""
"2014","Bulgaria","Number","Total","1 night or over","Domestic","Motor vehicle","2,467,597",""
"2014","Bulgaria","Number","Total","1 night or over","Domestic","Waterway",":",""
"2014","Bulgaria","Number","Total","1 night or over","Outbound","Total","603,672",""
"2014","Bulgaria","Number","Total","1 night or over","Outbound","Air","167,498",""
"2014","Bulgaria","Number","Total","1 night or over","Outbound","Land","436,173",""
"2014","Bulgaria","Number","Total","1 night or over","Outbound","Railways",":","u"
"2014","Bulgaria","Number","Total","1 night or over","Outbound","Bus, coach","200,039",""
"2014","Bulgaria","Number","Total","1 night or over","Outbound","Motor vehicle","229,955",""
"2014","Bulgaria","Number","Total","1 night or over","Outbound","Waterway",":",""
"2014","Bulgaria","Number","Total","1 night or over","All countries of the world","Total","3,773,793",""
"2014","Bulgaria","Number","Total","1 night or over","All countries of the world","Air","167,498",""
"2014","Bulgaria","Number","Total","1 night or over","All countries of the world","Land","3,606,295",""
"2014","Bulgaria","Number","Total","1 night or over","All countries of the world","Railways","132,380",""
"2014","Bulgaria","Number","Total","1 night or over","All countries of the world","Bus, coach","776,363",""
"2014","Bulgaria","Number","Total","1 night or over","All countries of the world","Motor vehicle","2,697,552",""
"2014","Bulgaria","Number","Total","1 night or over","All countries of the world","Waterway",":",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Domestic","Total","1,987,493",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Domestic","Air",":",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Domestic","Land","1,987,493",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Domestic","Railways","77,938",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Domestic","Bus, coach","375,794",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Domestic","Motor vehicle","1,533,761",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Domestic","Waterway",":",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Outbound","Total","208,535",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Outbound","Air",":","u"
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Outbound","Land","185,934",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Outbound","Railways",":","u"
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Outbound","Bus, coach","86,399",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Outbound","Motor vehicle","97,118",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","Outbound","Waterway",":",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","All countries of the world","Total","2,196,028",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","All countries of the world","Air",":","u"
"2014","Bulgaria","Number","Total","From 1 to 3 nights","All countries of the world","Land","2,173,427",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","All countries of the world","Railways","80,355",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","All countries of the world","Bus, coach","462,193",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","All countries of the world","Motor vehicle","1,630,879",""
"2014","Bulgaria","Number","Total","From 1 to 3 nights","All countries of the world","Waterway",":",""
"2014","Bulgaria","Number","Total","4 nights or over","Domestic","Total","1,182,628",""
"2014","Bulgaria","Number","Total","4 nights or over","Domestic","Air",":",""
"2014","Bulgaria","Number","Total","4 nights or over","Domestic","Land","1,182,628",""
"2014","Bulgaria","Number","Total","4 nights or over","Domestic","Railways","48,263","u"
"2014","Bulgaria","Number","Total","4 nights or over","Domestic","Bus, coach","200,530",""
"2014","Bulgaria","Number","Total","4 nights or over","Domestic","Motor vehicle","933,836",""
"2014","Bulgaria","Number","Total","4 nights or over","Domestic","Waterway",":",""
"2014","Bulgaria","Number","Total","4 nights or over","Outbound","Total","395,137",""
"2014","Bulgaria","Number","Total","4 nights or over","Outbound","Air","144,897",""
"2014","Bulgaria","Number","Total","4 nights or over","Outbound","Land","250,239",""
"2014","Bulgaria","Number","Total","4 nights or over","Outbound","Railways",":","u"
"2014","Bulgaria","Number","Total","4 nights or over","Outbound","Bus, coach","113,640",""
"2014","Bulgaria","Number","Total","4 nights or over","Outbound","Motor vehicle","132,837",""
"2014","Bulgaria","Number","Total","4 nights or over","Outbound","Waterway",":",""
"2014","Bulgaria","Number","Total","4 nights or over","All countries of the world","Total","1,577,765",""
"2014","Bulgaria","Number","Total","4 nights or over","All countries of the world","Air","144,897",""
"2014","Bulgaria","Number","Total","4 nights or over","All countries of the world","Land","1,432,868",""
"2014","Bulgaria","Number","Total","4 nights or over","All countries of the world","Railways","52,025","u"
"2014","Bulgaria","Number","Total","4 nights or over","All countries of the world","Bus, coach","314,170",""
"2014","Bulgaria","Number","Total","4 nights or over","All countries of the world","Motor vehicle","1,066,673",""
"2014","Bulgaria","Number","Total","4 nights or over","All countries of the world","Waterway",":",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","Domestic","Total","3,012,004",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","Domestic","Air",":",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","Domestic","Land","3,012,004",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","Domestic","Railways","124,791",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","Domestic","Bus, coach","534,715",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","Domestic","Motor vehicle","2,352,497",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","Domestic","Waterway",":",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","Outbound","Total","566,592",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","Outbound","Air","149,777",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","Outbound","Land","416,814",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","Outbound","Railways",":","u"
"2014","Bulgaria","Number","Personal reasons","1 night or over","Outbound","Bus, coach","196,457",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","Outbound","Motor vehicle","214,178",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","Outbound","Waterway",":",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","All countries of the world","Total","3,578,596",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","All countries of the world","Air","149,777",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","All countries of the world","Land","3,428,818",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","All countries of the world","Railways","130,971",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","All countries of the world","Bus, coach","731,172",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","All countries of the world","Motor vehicle","2,566,675",""
"2014","Bulgaria","Number","Personal reasons","1 night or over","All countries of the world","Waterway",":",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Domestic","Total","1,855,864",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Domestic","Air",":",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Domestic","Land","1,855,864",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Domestic","Railways","76,529",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Domestic","Bus, coach","339,762",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Domestic","Motor vehicle","1,439,574",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Domestic","Waterway",":",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Outbound","Total","189,931",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Outbound","Air",":","u"
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Outbound","Land","171,872",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Outbound","Railways",":","u"
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Outbound","Bus, coach","82,817",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Outbound","Motor vehicle","86,639",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","Outbound","Waterway",":",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Total","2,045,795",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Air",":","u"
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Land","2,027,736",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Railways","78,946",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Bus, coach","422,579",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Motor vehicle","1,526,212",""
"2014","Bulgaria","Number","Personal reasons","From 1 to 3 nights","All countries of the world","Waterway",":",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Domestic","Total","1,156,140",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Domestic","Air",":",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Domestic","Land","1,156,140",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Domestic","Railways","48,263","u"
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Domestic","Bus, coach","194,953",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Domestic","Motor vehicle","912,923",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Domestic","Waterway",":",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Outbound","Total","376,661",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Outbound","Air","131,719",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Outbound","Land","244,942",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Outbound","Railways",":","u"
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Outbound","Bus, coach","113,640",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Outbound","Motor vehicle","127,540",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","Outbound","Waterway",":",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","All countries of the world","Total","1,532,800",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","All countries of the world","Air","131,719",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","All countries of the world","Land","1,401,082",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","All countries of the world","Railways","52,025","u"
"2014","Bulgaria","Number","Personal reasons","4 nights or over","All countries of the world","Bus, coach","308,594",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","All countries of the world","Motor vehicle","1,040,463",""
"2014","Bulgaria","Number","Personal reasons","4 nights or over","All countries of the world","Waterway",":",""
"2014","Bulgaria","Number","Professional, business","1 night or over","Domestic","Total","158,118",""
"2014","Bulgaria","Number","Professional, business","1 night or over","Domestic","Air",":",""
"2014","Bulgaria","Number","Professional, business","1 night or over","Domestic","Land","158,118",""
"2014","Bulgaria","Number","Professional, business","1 night or over","Domestic","Railways",":","u"
"2014","Bulgaria","Number","Professional, business","1 night or over","Domestic","Bus, coach","41,609","u"
"2014","Bulgaria","Number","Professional, business","1 night or over","Domestic","Motor vehicle","115,100",""
"2014","Bulgaria","Number","Professional, business","1 night or over","Domestic","Waterway",":",""
"2014","Bulgaria","Number","Professional, business","1 night or over","Outbound","Total","37,080","u"
"2014","Bulgaria","Number","Professional, business","1 night or over","Outbound","Air",":","u"
"2014","Bulgaria","Number","Professional, business","1 night or over","Outbound","Land",":","u"
"2014","Bulgaria","Number","Professional, business","1 night or over","Outbound","Railways",":",""
"2014","Bulgaria","Number","Professional, business","1 night or over","Outbound","Bus, coach",":","u"
