unit,landcover,geo\time	2015 	2012 	2009 
CVA,LCB54,DEE	: 	98.7 	: 
CVA,LCB54,DEF	97.2 	: 	: 
CVA,LCB54,DEG	99.5 	69.7 	: 
CVA,LCB54,DK	31.9 	96.7 	: 
CVA,LCB54,DK0	31.9 	96.7 	: 
CVA,LCB54,EE	58 	: 	70.3 
CVA,LCB54,EE0	58 	: 	70.3 
CVA,LCB54,EL	21.9 	26.2 	23.2 
CVA,LCB54,EL4	44.9 	: 	: 
CVA,LCB54,EL5	36.5 	31.7 	44.3 
CVA,LCB54,EL6	33.7 	47.4 	26.5 
CVA,LCB54,ES	7.9 	7.3 	10.6 
CVA,LCB54,ES1	28.4 	31.4 	34.4 
CVA,LCB54,ES2	24.2 	21.5 	31.9 
CVA,LCB54,ES3	97.3 	: 	: 
CVA,LCB54,ES4	10.5 	9.4 	12.2 
CVA,LCB54,ES5	31.5 	23.9 	102.4 
CVA,LCB54,ES6	19.7 	20.4 	57.5 
CVA,LCB54,EU27	4 	3.6 	: 
CVA,LCB54,EU28	4 	: 	: 
CVA,LCB54,EU_V	4.1 	3.7 	3.6 
CVA,LCB54,FI	34.3 	26.8 	18.9 
CVA,LCB54,FI1	34.2 	26.7 	18.8 
CVA,LCB54,FR	13.7 	12.4 	16.4 
CVA,LCB54,FR1	: 	96.6 	: 
CVA,LCB54,FR2	35.3 	52.5 	49.3 
CVA,LCB54,FR3	116.9 	99.1 	98 
CVA,LCB54,FR4	57.5 	49.3 	43.4 
CVA,LCB54,FR5	32.7 	23.1 	31.8 
CVA,LCB54,FR6	25.9 	21.9 	26.1 
CVA,LCB54,FR7	32.5 	34.5 	99.1 
CVA,LCB54,FR8	35.7 	33.9 	: 
CVA,LCB54,HR	98.6 	: 	: 
CVA,LCB54,HR0	98.6 	: 	: 
CVA,LCB54,HU	98.6 	: 	80.3 
CVA,LCB54,HU2	: 	: 	80.3 
CVA,LCB54,HU3	98.6 	: 	: 
CVA,LCB54,IE	92.5 	: 	: 
CVA,LCB54,IE0	92.5 	: 	: 
CVA,LCB54,IT	8.1 	6.6 	5.9 
CVA,LCB54,ITC	82.9 	54.4 	39.4 
CVA,LCB54,ITF	16.3 	11.3 	8.3 
CVA,LCB54,ITG	11.1 	11.6 	10.7 
CVA,LCB54,ITH	45.7 	48.6 	48.3 
CVA,LCB54,ITI	18.6 	12.7 	17.8 
CVA,LCB54,LT	29.8 	20.8 	48 
CVA,LCB54,LT0	29.8 	20.8 	48 
CVA,LCB54,LV	44.2 	: 	69.7 
CVA,LCB54,LV0	44.2 	: 	69.7 
CVA,LCB54,MT	35.4 	32 	: 
CVA,LCB54,MT0	35.4 	32 	: 
CVA,LCB54,PL	10.2 	7.4 	6.1 
CVA,LCB54,PL1	16.6 	14.7 	10.8 
CVA,LCB54,PL2	39.8 	24.1 	24.6 
CVA,LCB54,PL3	15.7 	17.6 	13.2 
CVA,LCB54,PL4	43.6 	14 	15.3 
CVA,LCB54,PL5	99.1 	33 	24.7 
CVA,LCB54,PL6	37.1 	18.5 	14 
CVA,LCB54,PT	24.3 	21.5 	14.2 
CVA,LCB54,PT1	24.3 	21.5 	14.2 
CVA,LCB54,RO	33.5 	22.1 	: 
CVA,LCB54,RO1	97.8 	71.7 	: 
CVA,LCB54,RO2	69 	58.5 	: 
CVA,LCB54,RO3	97.4 	48.9 	: 
CVA,LCB54,RO4	46.4 	29.4 	: 
CVA,LCB54,SE	13.3 	40.4 	97.2 
CVA,LCB54,SE1	56.4 	55.9 	: 
CVA,LCB54,SE2	14.6 	68.7 	: 
CVA,LCB54,SE3	32.4 	116.1 	97.1 
CVA,LCB54,SI	: 	94 	149.1 
CVA,LCB54,SI0	: 	94 	149.1 
CVA,LCB54,SK	105.4 	61.9 	71.2 
CVA,LCB54,SK0	105.4 	61.9 	71.2 
CVA,LCB54,UK	28.7 	59.6 	66.8 
CVA,LCB54,UKC	99.9 	: 	: 
CVA,LCB54,UKE	: 	89.6 	: 
CVA,LCB54,UKF	104.7 	: 	: 
CVA,LCB54,UKG	: 	: 	92.1 
CVA,LCB54,UKH	: 	97 	: 
CVA,LCB54,UKJ	57.1 	: 	: 
CVA,LCB54,UKK	99.2 	: 	97.1 
CVA,LCB54,UKM	39.6 	106.2 	: 
CVA,LCB55,AT	10.9 	12.8 	16.2 
CVA,LCB55,AT1	16.4 	19.5 	27.1 
CVA,LCB55,AT2	32.5 	30.1 	32.3 
CVA,LCB55,AT3	16.3 	20.8 	24.6 
CVA,LCB55,BE	12.1 	12.3 	34.5 
CVA,LCB55,BE2	12.6 	14 	57.7 
CVA,LCB55,BE3	32.9 	25.1 	42.8 
CVA,LCB55,BG	43.4 	69.6 	: 
CVA,LCB55,BG3	68.9 	70.2 	: 
CVA,LCB55,BG4	56.5 	: 	: 
CVA,LCB55,CZ	22.5 	17.1 	16.9 
CVA,LCB55,CZ0	22.5 	17.1 	16.9 
CVA,LCB55,DE	6 	7.6 	11 
CVA,LCB55,DE1	17.4 	23.3 	67.2 
CVA,LCB55,DE2	13.1 	14.9 	19.8 
CVA,LCB55,DE4	25.7 	47.1 	73.7 
CVA,LCB55,DE7	43.6 	39.7 	: 
CVA,LCB55,DE8	28.5 	39 	37.2 
CVA,LCB55,DE9	13.9 	22.4 	37.2 
CVA,LCB55,DEA	27.7 	27.5 	69 
CVA,LCB55,DEB	28.6 	24.5 	33.9 
CVA,LCB55,DEC	93.4 	: 	102.6 
CVA,LCB55,DED	22.3 	25.7 	96.5 
CVA,LCB55,DEE	39.7 	47.7 	37 
CVA,LCB55,DEF	18.5 	23.5 	23.2 
CVA,LCB55,DEG	24.6 	40 	: 
CVA,LCB55,DK	8.2 	9.8 	11.1 
CVA,LCB55,DK0	8.2 	9.8 	11.1 
CVA,LCB55,EE	31.5 	27.2 	: 
CVA,LCB55,EE0	31.5 	27.2 	: 
CVA,LCB55,EL	64.1 	48 	58.4 
CVA,LCB55,EL5	: 	93.9 	65.2 
CVA,LCB55,EL6	64.2 	54.2 	125 
CVA,LCB55,ES	7.1 	8.1 	10.6 
CVA,LCB55,ES1	9.8 	11.4 	17.1 
CVA,LCB55,ES2	26.6 	29.2 	36.4 
CVA,LCB55,ES4	14.1 	16.7 	23.3 
CVA,LCB55,ES5	21.1 	22.9 	19.7 
CVA,LCB55,EU27	1.8 	1.8 	: 
CVA,LCB55,EU28	1.7 	: 	: 
CVA,LCB55,EU_V	1.7 	1.9 	2.4 
CVA,LCB55,FI	5 	4.6 	4.1 
CVA,LCB55,FI1	5 	4.7 	4.1 
CVA,LCB55,FI2	100.1 	39.2 	: 
CVA,LCB55,FR	3.6 	4.5 	6.8 
CVA,LCB55,FR1	48.3 	36.7 	: 
CVA,LCB55,FR2	10.8 	11.3 	20.2 
CVA,LCB55,FR3	42 	32.9 	39.5 
CVA,LCB55,FR4	18.2 	15.9 	32.5 
CVA,LCB55,FR5	5.7 	7.9 	11.4 
CVA,LCB55,FR6	7 	10.6 	13 
CVA,LCB55,FR7	9.3 	12.2 	20 
CVA,LCB55,FR8	15.3 	17 	25.7 
CVA,LCB55,HR	15.8 	: 	: 
CVA,LCB55,HR0	15.8 	: 	: 
CVA,LCB55,HU	43.4 	28.5 	25.4 
CVA,LCB55,HU1	: 	68.8 	: 
CVA,LCB55,HU2	57 	35.1 	39.2 
CVA,LCB55,HU3	69.4 	69.7 	33.3 
CVA,LCB55,IE	29.5 	29.5 	70.5 
CVA,LCB55,IE0	29.5 	29.5 	70.5 
CVA,LCB55,IT	4.5 	4.4 	5.3 
CVA,LCB55,ITC	9.2 	9.9 	14 
CVA,LCB55,ITF	8.2 	6.6 	8.8 
CVA,LCB55,ITG	12.4 	9.9 	10.7 
CVA,LCB55,ITH	16.6 	28 	25.7 
CVA,LCB55,ITI	9.3 	13.1 	12.3 
CVA,LCB55,LT	19.6 	17.6 	70.6 
CVA,LCB55,LT0	19.6 	17.6 	70.6 
CVA,LCB55,LU	32.3 	33.4 	: 
CVA,LCB55,LU0	32.3 	33.4 	: 
CVA,LCB55,LV	34.7 	69.9 	68.5 
CVA,LCB55,LV0	34.7 	69.9 	68.5 
CVA,LCB55,NL	16.9 	24.2 	102.4 
CVA,LCB55,NL1	35.2 	73.3 	101.5 
CVA,LCB55,NL2	29.3 	32.7 	: 
CVA,LCB55,NL3	32.3 	39.9 	: 
CVA,LCB55,NL4	43 	: 	: 
CVA,LCB55,PL	9.4 	11 	22 
CVA,LCB55,PL1	20.9 	29 	98.1 
CVA,LCB55,PL2	29.4 	57.4 	: 
CVA,LCB55,PL3	17.3 	23.6 	26 
CVA,LCB55,PL4	22.3 	20.6 	49.4 
CVA,LCB55,PL5	29.7 	30.1 	: 
CVA,LCB55,PL6	26.3 	25.4 	99.9 
CVA,LCB55,PT	12.3 	11.6 	12.2 
CVA,LCB55,PT1	12.3 	11.6 	12.2 
CVA,LCB55,RO	22.9 	10.9 	: 
CVA,LCB55,RO1	43.4 	25.4 	: 
CVA,LCB55,RO2	34.5 	20.3 	: 
CVA,LCB55,RO3	: 	23.5 	: 
CVA,LCB55,RO4	43 	19.8 	: 
CVA,LCB55,SE	6.6 	6.4 	7.3 
CVA,LCB55,SE1	13.4 	12.4 	14.1 
CVA,LCB55,SE2	8.5 	8.8 	9.6 
CVA,LCB55,SE3	14.8 	14.9 	17.8 
CVA,LCB55,SI	20.1 	31.2 	95.2 
CVA,LCB55,SI0	20.2 	31.2 	95.2 
CVA,LCB55,SK	40.2 	35.4 	28.8 
CVA,LCB55,SK0	40.2 	35.4 	28.8 
CVA,LCB55,UK	6.8 	7 	10.2 
CVA,LCB55,UKC	29.3 	42.4 	36.3 
CVA,LCB55,UKD	25.8 	16.5 	24.9 
CVA,LCB55,UKE	29.6 	27.2 	25.1 
CVA,LCB55,UKF	44.8 	57.4 	31.3 
CVA,LCB55,UKG	57.4 	30.7 	49.2 
CVA,LCB55,UKH	38 	37.4 	: 
CVA,LCB55,UKJ	23.7 	23.3 	: 
CVA,LCB55,UKK	11.2 	13.8 	22.7 
CVA,LCB55,UKL	20.1 	23.9 	92.9 
CVA,LCB55,UKM	16.3 	15.4 	21 
CVA,LCB55,UKN	50.4 	99.2 	: 
CVA,LCB7,AT	16.5 	18 	19.5 
CVA,LCB7,AT1	30.6 	30.9 	34.9 
CVA,LCB7,AT2	22.4 	24.7 	29.2 
CVA,LCB7,AT3	45.3 	46.7 	40.9 
CVA,LCB7,BE	24.8 	20.7 	21.8 
CVA,LCB7,BE2	26 	22.4 	23.2 
CVA,LCB7,BE3	67.1 	59.4 	61.2 
CVA,LCB7,BG	15.4 	14 	: 
CVA,LCB7,BG3	19.1 	18.9 	: 
CVA,LCB7,BG4	26.1 	21 	: 
CVA,LCB7,CY	14.5 	13 	: 
CVA,LCB7,CY0	14.5 	13 	: 
CVA,LCB7,CZ	12.9 	12.5 	16.1 
CVA,LCB7,CZ0	12.9 	12.5 	16.1 
CVA,LCB7,DE	9.5 	10.1 	10.8 
CVA,LCB7,DE1	16.9 	17.4 	21.5 
CVA,LCB7,DE2	26.2 	28 	29.1 
CVA,LCB7,DE3	84.3 	160.8 	105.1 
CVA,LCB7,DE4	53.8 	65 	83.4 
CVA,LCB7,DE6	161.3 	79.6 	234.2 
CVA,LCB7,DE7	45.8 	59 	52.8 
CVA,LCB7,DE8	67.9 	60 	74.9 
CVA,LCB7,DE9	28.8 	30 	27.5 
CVA,LCB7,DEA	25.3 	30.3 	51.7 
CVA,LCB7,DEB	37.9 	41.3 	37.8 
CVA,LCB7,DEC	53.8 	135.7 	97 
CVA,LCB7,DED	50.3 	43.9 	48.2 
CVA,LCB7,DEE	54 	43.2 	44.2 
CVA,LCB7,DEF	124.6 	85.2 	103.3 
CVA,LCB7,DEG	44.2 	43.6 	32.9 
CVA,LCB7,DK	62.4 	48.9 	66.7 
CVA,LCB7,DK0	62.4 	48.9 	66.7 
CVA,LCB7,EE	57.5 	54.4 	70.1 
CVA,LCB7,EE0	57.5 	54.4 	70.1 
CVA,LCB7,EL	8.3 	8.8 	10.5 
CVA,LCB7,EL3	117.8 	: 	112.6 
CVA,LCB7,EL4	31.4 	31 	46.6 
CVA,LCB7,EL5	11.9 	12.9 	14.1 
CVA,LCB7,EL6	12.7 	12.9 	15.3 
CVA,LCB7,ES	3.7 	3.3 	3.9 
CVA,LCB7,ES1	20.5 	15.6 	18.4 
CVA,LCB7,ES2	11.3 	8.9 	9.2 
CVA,LCB7,ES3	110.8 	152.2 	121.7 
CVA,LCB7,ES4	10.8 	9.2 	11.2 
CVA,LCB7,ES5	5.6 	5.3 	6.4 
CVA,LCB7,ES6	6.9 	5.9 	7.5 
CVA,LCB7,EU27	2.1 	1.9 	: 
CVA,LCB7,EU28	2.1 	: 	: 
CVA,LCB7,EU_V	2.2 	2.1 	2.4 
CVA,LCB7,FI	51.5 	45.8 	48.9 
CVA,LCB7,FI1	51.5 	45.8 	48.8 
CVA,LCB7,FR	7.3 	6.9 	7.1 
CVA,LCB7,FR1	148.4 	67.1 	98.6 
CVA,LCB7,FR2	18.7 	17.4 	18.3 
CVA,LCB7,FR3	79.4 	51.2 	52 
CVA,LCB7,FR4	24.1 	25.7 	26.6 
CVA,LCB7,FR5	19.3 	19.1 	18.3 
CVA,LCB7,FR6	15.2 	16 	16.7 
CVA,LCB7,FR7	20.3 	17.2 	17.6 
CVA,LCB7,FR8	15 	13.9 	14.1 
CVA,LCB7,HR	21.6 	: 	: 
CVA,LCB7,HR0	21.6 	: 	: 
CVA,LCB7,HU	16.6 	15.7 	16.3 
CVA,LCB7,HU1	58.7 	47.2 	46.8 
CVA,LCB7,HU2	33.3 	29.5 	29.9 
CVA,LCB7,HU3	20.5 	20.4 	21.4 
CVA,LCB7,IE	71.6 	56.6 	87.5 
CVA,LCB7,IE0	71.6 	56.6 	87.5 
CVA,LCB7,IT	4.7 	4.3 	5.1 
CVA,LCB7,ITC	15.7 	14.8 	15.8 
CVA,LCB7,ITF	7.3 	6.6 	8.1 
CVA,LCB7,ITG	10.9 	9.2 	11.6 
CVA,LCB7,ITH	10.7 	11 	11.4 
CVA,LCB7,ITI	13.9 	12.5 	15.5 
CVA,LCB7,LT	25.4 	24.8 	27.6 
CVA,LCB7,LT0	25.4 	24.8 	27.6 
CVA,LCB7,LU	: 	137.2 	239.3 
CVA,LCB7,LU0	: 	137.2 	239.3 
CVA,LCB7,LV	29.6 	31.4 	33.5 
CVA,LCB7,LV0	29.6 	31.4 	33.5 
CVA,LCB7,MT	146.8 	58.1 	: 
CVA,LCB7,MT0	146.8 	58.1 	: 
CVA,LCB7,NL	28.6 	25.2 	22.9 
CVA,LCB7,NL2	60.4 	61.3 	53.9 
CVA,LCB7,NL3	45 	36 	38.2 
CVA,LCB7,NL4	43.6 	37.9 	31 
CVA,LCB7,PL	7.6 	8.1 	9.5 
CVA,LCB7,PL1	11.9 	12.4 	13.7 
CVA,LCB7,PL2	28.5 	32.2 	37.4 
CVA,LCB7,PL3	12.4 	13.3 	17.6 
CVA,LCB7,PL4	30.9 	31.2 	46.9 
CVA,LCB7,PL5	41.9 	42.4 	54.7 
CVA,LCB7,PL6	26.8 	37.3 	28.5 
CVA,LCB7,PT	8.6 	8 	10.6 
CVA,LCB7,PT1	8.6 	8 	10.6 
CVA,LCB7,RO	8.1 	6.4 	: 
CVA,LCB7,RO1	13.1 	12.3 	: 
CVA,LCB7,RO2	20.4 	16.2 	: 
CVA,LCB7,RO3	20 	13.7 	: 
CVA,LCB7,RO4	15.1 	10.8 	: 
CVA,LCB7,SE	42.9 	50.3 	62.7 
CVA,LCB7,SE1	79.4 	84.6 	: 
CVA,LCB7,SE2	56.8 	174.5 	62.4 
CVA,LCB7,SE3	101.1 	66.7 	: 
CVA,LCB7,SI	34.6 	40.6 	58.9 
CVA,LCB7,SI0	34.6 	40.6 	58.9 
CVA,LCB7,SK	24.2 	23 	24.9 
CVA,LCB7,SK0	24.2 	23 	24.9 
CVA,LCB7,UK	26.9 	14.1 	22.6 
CVA,LCB7,UKD	: 	56.8 	: 
CVA,LCB7,UKE	: 	18.3 	: 
CVA,LCB7,UKF	: 	56.9 	: 
CVA,LCB7,UKG	74.4 	49.5 	80.1 
CVA,LCB7,UKH	: 	72.7 	99.5 
CVA,LCB7,UKJ	37.6 	45.9 	32.5 
CVA,LCB7,UKK	75.3 	97.2 	42.2 
CVA,LCB7,UKL	: 	95.9 	92.2 
CVA,LCB7,UKM	100 	: 	: 
CVA,LCB7,UKN	100.9 	134.3 	: 
CVA,LCB71,AT	22.1 	23.8 	28.5 
CVA,LCB71,AT1	50.8 	50.2 	63.5 
CVA,LCB71,AT2	26.8 	28.7 	38.1 
CVA,LCB71,AT3	70.6 	61.9 	55.8 
CVA,LCB71,BE	39.6 	33.7 	41.1 
CVA,LCB71,BE2	43.5 	36.4 	43.3 
CVA,LCB71,BE3	88.2 	77.9 	105.8 
CVA,LCB71,BG	42.4 	46.9 	: 
CVA,LCB71,BG3	54.2 	72.6 	: 
CVA,LCB71,BG4	68.1 	60.9 	: 
CVA,LCB71,CY	65.3 	60 	: 
CVA,LCB71,CY0	65.3 	60 	: 
CVA,LCB71,CZ	19.3 	18.6 	26.3 
CVA,LCB71,CZ0	19.3 	18.6 	26.3 
CVA,LCB71,DE	12.5 	13.1 	14 
CVA,LCB71,DE1	21.8 	22.7 	27.8 
CVA,LCB71,DE2	32.8 	36.8 	37.7 
CVA,LCB71,DE3	198.9 	229.7 	: 
CVA,LCB71,DE4	70.1 	72 	97.9 
CVA,LCB71,DE6	161.3 	79.6 	234.2 
CVA,LCB71,DE7	53.3 	69 	59.8 
CVA,LCB71,DE8	91.3 	78 	114.9 
CVA,LCB71,DE9	34.5 	34.2 	33.5 
CVA,LCB71,DEA	41.1 	46.5 	77.1 
CVA,LCB71,DEB	48.9 	67.6 	53.2 
CVA,LCB71,DEC	95.8 	162.1 	236.9 
CVA,LCB71,DED	51.6 	45.6 	54.7 
CVA,LCB71,DEE	113 	71 	50.4 
CVA,LCB71,DEF	124.6 	85.2 	127.3 
CVA,LCB71,DEG	57.4 	55.9 	40.9 
CVA,LCB71,DK	109.5 	118.3 	: 
CVA,LCB71,DK0	109.5 	118.3 	: 
CVA,LCB71,EE	70.9 	86.8 	77.1 
CVA,LCB71,EE0	70.9 	86.8 	77.1 
CVA,LCB71,EL	44.3 	42.1 	43.6 
CVA,LCB71,EL5	49.3 	49.1 	44.1 
CVA,LCB71,EL6	108.3 	83.4 	96.8 
CVA,LCB71,ES	22.8 	17.8 	24.6 
CVA,LCB71,ES1	32.7 	24.6 	34.6 
CVA,LCB71,ES2	53.5 	43.7 	63.8 
CVA,LCB71,ES3	204.7 	152.2 	: 
CVA,LCB71,ES4	191.3 	71.3 	56.6 
CVA,LCB71,ES5	51.8 	49.1 	66.5 
CVA,LCB71,ES6	: 	: 	212.5 
CVA,LCB71,EU27	4.5 	4.1 	: 
CVA,LCB71,EU28	4.5 	: 	: 
CVA,LCB71,EU_V	4.8 	4.4 	5.2 
CVA,LCB71,FI	115.6 	133.9 	130.3 
CVA,LCB71,FI1	115.6 	134.3 	130 
CVA,LCB71,FR	11.4 	10.7 	11.6 
CVA,LCB71,FR1	148.4 	93.6 	98.6 
CVA,LCB71,FR2	22.4 	20.9 	22.1 
CVA,LCB71,FR3	90.1 	51.2 	52 
CVA,LCB71,FR4	38.8 	52 	58 
CVA,LCB71,FR5	23.5 	21.7 	24.8 
CVA,LCB71,FR6	28.1 	29.7 	30.1 
CVA,LCB71,FR7	43.9 	39.2 	68.8 
CVA,LCB71,FR8	30.2 	27 	26.8 
CVA,LCB71,HR	51.7 	: 	: 
CVA,LCB71,HR0	51.7 	: 	: 
CVA,LCB71,HU	29.1 	24.9 	27.6 
CVA,LCB71,HU1	98.5 	90.2 	116.7 
CVA,LCB71,HU2	57.3 	43.4 	48.7 
CVA,LCB71,HU3	36.4 	32.5 	35.1 
CVA,LCB71,IE	82.1 	56.6 	87.5 
CVA,LCB71,IE0	82.1 	56.6 	87.5 
CVA,LCB71,IT	15.1 	15 	19.4 
CVA,LCB71,ITC	45.9 	36.1 	47.2 
CVA,LCB71,ITF	44.7 	49.2 	73.5 
CVA,LCB71,ITG	220.5 	: 	113.8 
CVA,LCB71,ITH	18 	16.9 	20.8 
CVA,LCB71,ITI	43.8 	63.8 	139.5 
CVA,LCB71,LT	28.4 	29.4 	29.9 
CVA,LCB71,LT0	28.4 	29.4 	29.9 
CVA,LCB71,LU	: 	137.2 	320.9 
CVA,LCB71,LU0	: 	137.2 	320.9 
CVA,LCB71,LV	34.9 	38.7 	39.4 
CVA,LCB71,LV0	34.9 	38.7 	39.4 
CVA,LCB71,NL	46.9 	36 	30 
CVA,LCB71,NL2	65.2 	75.4 	66 
CVA,LCB71,NL3	93.4 	55.2 	58.4 
CVA,LCB71,NL4	129.5 	52 	40 
CVA,LCB71,PL	10.8 	11.1 	12.3 
CVA,LCB71,PL1	15.9 	15.2 	16.9 
CVA,LCB71,PL2	33.2 	43.3 	49 
CVA,LCB71,PL3	20 	20.8 	24.2 
CVA,LCB71,PL4	53.6 	54.4 	71.1 
CVA,LCB71,PL5	66.6 	70.1 	61.4 
CVA,LCB71,PL6	36.3 	44.4 	39.3 
CVA,LCB71,PT	28.8 	24.3 	28.4 
CVA,LCB71,PT1	28.9 	24.3 	28.4 
CVA,LCB71,RO	13.4 	11.3 	: 
CVA,LCB71,RO1	19.4 	18 	: 
CVA,LCB71,RO2	40.3 	26.5 	: 
CVA,LCB71,RO3	31.6 	29 	: 
CVA,LCB71,RO4	28.5 	21.6 	: 
CVA,LCB71,SE	53.9 	63.2 	62.7 
CVA,LCB71,SE1	79.5 	84.6 	: 
CVA,LCB71,SE2	69 	: 	62.4 
CVA,LCB71,SE3	: 	93.2 	: 
CVA,LCB71,SI	47.9 	54.9 	69.2 
CVA,LCB71,SI0	47.9 	54.9 	69.2 
CVA,LCB71,SK	34.8 	33 	39.4 
CVA,LCB71,SK0	34.8 	33 	39.4 
CVA,LCB71,UK	33.1 	14.5 	24.5 
CVA,LCB71,UKD	: 	56.8 	: 
CVA,LCB71,UKE	: 	18.3 	: 
CVA,LCB71,UKF	: 	56.9 	: 
CVA,LCB71,UKG	74.4 	49.5 	80.1 
CVA,LCB71,UKH	: 	72.7 	99.5 
CVA,LCB71,UKJ	55.2 	70.3 	36 
CVA,LCB71,UKK	75.3 	103.7 	47 
CVA,LCB71,UKL	: 	95.9 	92.2 
CVA,LCB71,UKN	100.9 	134.3 	: 
CVA,LCB72,AT	44 	38.8 	56.4 
CVA,LCB72,AT1	70.2 	51.6 	87.4 
CVA,LCB72,AT2	69.1 	88.4 	144.5 
CVA,LCB72,AT3	116.2 	88.6 	85 
CVA,LCB72,BE	34.5 	30.4 	32.3 
CVA,LCB72,BE2	36.5 	32.7 	35.8 
CVA,LCB72,BE3	93.5 	80.4 	64.7 
CVA,LCB72,BG	54.5 	53.8 	: 
CVA,LCB72,BG3	102.4 	79.7 	: 
CVA,LCB72,BG4	63.7 	71.7 	: 
CVA,LCB72,CZ	140.7 	167.6 	92.7 
CVA,LCB72,CZ0	140.7 	167.6 	92.7 
CVA,LCB72,DE	36.8 	36.7 	61.1 
CVA,LCB72,DE1	47.4 	56.5 	128.5 
CVA,LCB72,DE2	320.9 	: 	: 
CVA,LCB72,DE7	140.4 	117.6 	: 
CVA,LCB72,DE9	125.9 	139.5 	141.4 
CVA,LCB72,DEA	: 	82.9 	: 
CVA,LCB72,DEB	130.6 	127.8 	115 
CVA,LCB72,DEC	170.5 	400.8 	256.2 
CVA,LCB72,DED	: 	304.3 	271.8 
CVA,LCB72,DEE	97.5 	98.7 	136.1 
CVA,LCB72,DEG	254.4 	: 	: 
CVA,LCB72,DK	177.5 	: 	: 
CVA,LCB72,DK0	177.5 	: 	: 
CVA,LCB72,EL	123.9 	67.4 	104.4 
CVA,LCB72,EL4	152 	133.7 	: 
CVA,LCB72,EL5	: 	111.4 	142.8 
CVA,LCB72,EL6	204.8 	104.3 	152.5 
CVA,LCB72,ES	22.3 	20.4 	23.9 
CVA,LCB72,ES1	86.3 	192.7 	73.9 
CVA,LCB72,ES2	45 	34.9 	37.2 
CVA,LCB72,ES4	55.2 	44 	55.5 
CVA,LCB72,ES5	33 	33 	45.1 
CVA,LCB72,ES6	96.2 	84 	100.9 
CVA,LCB72,EU27	10.3 	10 	: 
CVA,LCB72,EU28	10.3 	: 	: 
CVA,LCB72,EU_V	10.6 	10.2 	10.8 
CVA,LCB72,FR	37.4 	35.7 	34.9 
CVA,LCB72,FR2	77.9 	74.1 	99 
CVA,LCB72,FR5	128.2 	109.6 	66.4 
CVA,LCB72,FR7	: 	110.8 	103.7 
CVA,LCB72,FR8	44.5 	48.3 	51 
CVA,LCB72,HR	164.1 	: 	: 
CVA,LCB72,HR0	164.1 	: 	: 
CVA,LCB72,HU	75.7 	83.3 	67.9 
CVA,LCB72,HU2	94.2 	: 	85.6 
CVA,LCB72,HU3	131.9 	83.5 	107.8 
CVA,LCB72,IT	21.8 	19.8 	18.4 
CVA,LCB72,ITC	98.9 	86.8 	50.4 
CVA,LCB72,ITF	47.1 	35.2 	43.8 
CVA,LCB72,ITG	88.9 	: 	83.4 
CVA,LCB72,ITH	26.9 	25.7 	22.4 
CVA,LCB72,ITI	93.8 	64 	75.3 
CVA,LCB72,LT	114.5 	130.1 	174.3 
CVA,LCB72,LT0	114.5 	130.1 	174.3 
CVA,LCB72,LV	115.3 	115.4 	195.8 
CVA,LCB72,LV0	115.3 	115.4 	195.8 
CVA,LCB72,NL	47 	43.7 	53.4 
CVA,LCB72,NL2	: 	212.9 	121.1 
CVA,LCB72,NL3	49.5 	50.7 	56.3 
CVA,LCB72,NL4	71.3 	71.4 	130.8 
CVA,LCB72,PL	47 	50.5 	60 
CVA,LCB72,PL1	85.5 	92.9 	172.7 
CVA,LCB72,PL2	174.7 	88.7 	107.8 
CVA,LCB72,PL3	114.8 	121.3 	143.6 
CVA,LCB72,PL4	76.3 	130.8 	164 
CVA,LCB72,PL5	147 	192.8 	: 
CVA,LCB72,PL6	235.4 	479.4 	122.9 
CVA,LCB72,PT	32.1 	37.2 	47.1 
CVA,LCB72,PT1	32.1 	37.2 	47.1 
CVA,LCB72,RO	70 	106.9 	: 
CVA,LCB72,RO1	134.5 	: 	: 
CVA,LCB72,RO2	: 	151.9 	: 
CVA,LCB72,RO3	141.6 	151.1 	: 
CVA,LCB72,RO4	100.7 	: 	: 
CVA,LCB72,SK	103.8 	259.7 	359.2 
CVA,LCB72,SK0	103.8 	259.7 	359.2 
CVA,LCB72,UK	69.5 	63.5 	68.7 
CVA,LCB72,UKJ	65 	67.4 	96.2 
CVA,LCB72,UKK	: 	277.9 	95.6 
CVA,LCB73,AT	55.8 	91 	48.4 
CVA,LCB73,AT1	104.3 	310.4 	139.3 
CVA,LCB73,AT2	67.4 	91.2 	52.5 
CVA,LCB73,BE	105.3 	80.1 	95.6 
CVA,LCB73,BE2	97.2 	105.5 	96.1 
CVA,LCB73,BE3	: 	131.4 	: 
CVA,LCB73,BG	34 	30.9 	: 
CVA,LCB73,BG3	48.6 	49.6 	: 
CVA,LCB73,BG4	48.2 	39.4 	: 
CVA,LCB73,CY	131.3 	94.8 	: 
CVA,LCB73,CY0	131.3 	94.8 	: 
CVA,LCB73,CZ	30.8 	31.4 	37.4 
CVA,LCB73,CZ0	30.8 	31.4 	37.4 
CVA,LCB73,DE	23.5 	25.5 	27.9 
CVA,LCB73,DE1	57.5 	57.7 	69.5 
CVA,LCB73,DE2	75.8 	66.5 	77.9 
CVA,LCB73,DE3	93.5 	222.2 	184.8 
CVA,LCB73,DE4	102.9 	122.8 	158.6 
CVA,LCB73,DE7	116.6 	474.2 	112.9 
