unit,landcover,geo\time	2015 	2012 	2009 
CVA,LCA,EL42	20.5 	25.9 	: 
CVA,LCA,EL43	14.6 	15.1 	15.8 
CVA,LCA,EL5	7.6 	8.4 	8.5 
CVA,LCA,EL51	14.6 	16.7 	17.4 
CVA,LCA,EL52	11.2 	12.2 	12.5 
CVA,LCA,EL53	22.9 	24.2 	24 
CVA,LCA,EL54	20.9 	23.5 	23.4 
CVA,LCA,EL6	6.9 	7.8 	8 
CVA,LCA,EL61	14.9 	17 	16.6 
CVA,LCA,EL62	43.5 	48.2 	: 
CVA,LCA,EL63	14.7 	16.9 	16.2 
CVA,LCA,EL64	14.8 	16.2 	15.8 
CVA,LCA,EL65	11.8 	13 	13.4 
CVA,LCA,ES	1.9 	2 	2.3 
CVA,LCA,ES1	5.7 	5.8 	6.5 
CVA,LCA,ES11	7.1 	7.2 	8.2 
CVA,LCA,ES12	12.6 	12.8 	14.9 
CVA,LCA,ES13	15.5 	15.5 	16.8 
CVA,LCA,ES2	5.7 	5.8 	6.7 
CVA,LCA,ES21	10.4 	12.3 	14.1 
CVA,LCA,ES22	12.7 	12.3 	15.5 
CVA,LCA,ES23	19.3 	18.7 	20.3 
CVA,LCA,ES24	8.5 	8.5 	9.6 
CVA,LCA,ES3	8.3 	8.9 	9.3 
CVA,LCA,ES30	8.3 	8.9 	9.3 
CVA,LCA,ES4	3.8 	4 	4.5 
CVA,LCA,ES41	5.9 	6.3 	6.8 
CVA,LCA,ES42	6.3 	6.4 	7.4 
CVA,LCA,ES43	8.2 	8.8 	10.1 
CVA,LCA,ES5	4 	4.2 	5.1 
CVA,LCA,ES51	5.4 	5.5 	6.1 
CVA,LCA,ES52	6.2 	6.8 	7.7 
CVA,LCA,ES53	17.3 	19.2 	: 
CVA,LCA,ES6	4.1 	4.2 	4.7 
CVA,LCA,ES61	4.5 	4.7 	5.3 
CVA,LCA,ES62	9.6 	9.8 	11 
CVA,LCA,EU27	0.7 	0.7 	: 
CVA,LCA,EU28	0.7 	: 	: 
CVA,LCA,EU_V	0.7 	0.7 	0.8 
CVA,LCA,FI	5.4 	5.4 	4.9 
CVA,LCA,FI1	5.4 	5.4 	4.8 
CVA,LCA,FI19	8.6 	10.4 	8.8 
CVA,LCA,FI1B	16.1 	15.6 	14.4 
CVA,LCA,FI1C	10.9 	11.7 	10.3 
CVA,LCA,FI1D	9.3 	8.6 	7.8 
CVA,LCA,FR	1.6 	1.6 	1.7 
CVA,LCA,FR1	6.1 	6.2 	7.3 
CVA,LCA,FR10	6.1 	6.2 	7.3 
CVA,LCA,FR2	3.6 	3.7 	4.1 
CVA,LCA,FR21	9.3 	9.8 	10.9 
CVA,LCA,FR22	9.7 	9.9 	10.7 
CVA,LCA,FR23	10.6 	10.5 	12 
CVA,LCA,FR24	6.9 	7.2 	8 
CVA,LCA,FR25	8.5 	9.1 	10.2 
CVA,LCA,FR26	8.7 	9.3 	10 
CVA,LCA,FR3	7.6 	7.5 	8.6 
CVA,LCA,FR30	7.6 	7.5 	8.6 
CVA,LCA,FR4	5.4 	5.7 	6 
CVA,LCA,FR41	8.6 	8.8 	9.3 
CVA,LCA,FR42	9.4 	10 	10.8 
CVA,LCA,FR43	10.2 	11.1 	11.3 
CVA,LCA,FR5	3.6 	3.8 	4.1 
CVA,LCA,FR51	5.9 	6.2 	6.8 
CVA,LCA,FR52	5.8 	6.1 	6.4 
CVA,LCA,FR53	7.2 	7.5 	8 
CVA,LCA,FR6	4 	4.1 	4.3 
CVA,LCA,FR61	6 	5.9 	6.4 
CVA,LCA,FR62	6.4 	6.7 	6.8 
CVA,LCA,FR63	10.8 	11 	12.5 
CVA,LCA,FR7	4.3 	4.4 	4.7 
CVA,LCA,FR71	5.1 	5.2 	5.4 
CVA,LCA,FR72	7.9 	8.3 	9.3 
CVA,LCA,FR8	4.3 	4.3 	4.5 
CVA,LCA,FR81	7 	6.8 	7.2 
CVA,LCA,FR82	5.5 	5.6 	5.9 
CVA,LCA,FR83	22.9 	27.6 	23.6 
CVA,LCA,HR	7.8 	: 	: 
CVA,LCA,HR0	7.8 	: 	: 
CVA,LCA,HR03	12.2 	: 	: 
CVA,LCA,HR04	10.1 	: 	: 
CVA,LCA,HU	5.4 	5.6 	5.4 
CVA,LCA,HU1	12 	12.9 	12.2 
CVA,LCA,HU10	12 	12.9 	12.2 
CVA,LCA,HU2	9 	9.3 	8.9 
CVA,LCA,HU21	14.5 	14.9 	15.3 
CVA,LCA,HU22	14.8 	15.6 	14.6 
CVA,LCA,HU23	18.1 	17.2 	15.7 
CVA,LCA,HU3	8 	8.3 	8 
CVA,LCA,HU31	15.3 	15.7 	14.8 
CVA,LCA,HU32	12.4 	12.7 	13 
CVA,LCA,HU33	14.1 	15.1 	13.9 
CVA,LCA,IE	6.5 	6.6 	6.7 
CVA,LCA,IE0	6.5 	6.6 	6.7 
CVA,LCA,IE01	11 	11.5 	11.7 
CVA,LCA,IE02	8.2 	8.2 	8.3 
CVA,LCA,IT	1.7 	1.8 	1.9 
CVA,LCA,ITC	3.4 	3.4 	3.6 
CVA,LCA,ITC1	5.9 	5.7 	6.1 
CVA,LCA,ITC2	23 	24.8 	24.5 
CVA,LCA,ITC3	10.6 	11.9 	12.8 
CVA,LCA,ITC4	4.6 	4.7 	4.8 
CVA,LCA,ITF	3.6 	3.8 	4.1 
CVA,LCA,ITF1	10.3 	10.5 	10.7 
CVA,LCA,ITF2	29.6 	30.4 	34.7 
CVA,LCA,ITF3	6.2 	6.5 	7.3 
CVA,LCA,ITF4	6.4 	7 	7.7 
CVA,LCA,ITF5	13.8 	16.4 	16.7 
CVA,LCA,ITF6	8.8 	9.1 	9.3 
CVA,LCA,ITG	5 	5.4 	6 
CVA,LCA,ITG1	6.1 	6.6 	7.2 
CVA,LCA,ITG2	8.8 	9.4 	10.9 
CVA,LCA,ITH	3.6 	3.8 	4 
CVA,LCA,ITH1	15.8 	16.8 	20.5 
CVA,LCA,ITH2	17.9 	19.5 	19.2 
CVA,LCA,ITH3	5.7 	6 	6 
CVA,LCA,ITH4	12.9 	12.6 	13.8 
CVA,LCA,ITH5	5.8 	6.2 	6.8 
CVA,LCA,ITI	4.1 	4.4 	4.7 
CVA,LCA,ITI1	6.7 	7.2 	7.4 
CVA,LCA,ITI2	13.6 	15.8 	17 
CVA,LCA,ITI3	9.6 	10.6 	11.2 
CVA,LCA,ITI4	6.9 	7 	7.8 
CVA,LCA,LT	6.6 	7.6 	7.8 
CVA,LCA,LT0	6.6 	7.6 	7.8 
CVA,LCA,LT00	6.6 	7.6 	7.8 
CVA,LCA,LU	14.3 	14.8 	15.7 
CVA,LCA,LU0	14.3 	14.8 	15.7 
CVA,LCA,LU00	14.3 	14.8 	15.7 
CVA,LCA,LV	8.9 	10.2 	11 
CVA,LCA,LV0	8.9 	10.2 	11 
CVA,LCA,LV00	8.9 	10.2 	11 
CVA,LCA,MT	19.8 	22.3 	: 
CVA,LCA,MT0	19.8 	22.3 	: 
CVA,LCA,MT00	19.8 	22.3 	: 
CVA,LCA,NL	4.1 	4.2 	4.3 
CVA,LCA,NL1	11.5 	11.3 	12.2 
CVA,LCA,NL11	16.8 	16.2 	16.5 
CVA,LCA,NL12	23.8 	21.8 	23.3 
CVA,LCA,NL13	20.3 	22.2 	24.7 
CVA,LCA,NL2	8.5 	8.2 	8.6 
CVA,LCA,NL21	16.3 	14.9 	16.5 
CVA,LCA,NL22	10.8 	10.8 	11.1 
CVA,LCA,NL23	23.9 	20.7 	23.2 
CVA,LCA,NL3	6.5 	7 	7.1 
CVA,LCA,NL31	20.5 	21 	21.7 
CVA,LCA,NL32	11.2 	11.7 	11.3 
CVA,LCA,NL33	9.6 	9.4 	10.3 
CVA,LCA,NL34	21.1 	33.9 	30.5 
CVA,LCA,NL4	7.9 	8.4 	8.2 
CVA,LCA,NL41	9.4 	10 	9.4 
CVA,LCA,NL42	13.1 	15.3 	17 
CVA,LCA,PL	3.2 	3.4 	3.8 
CVA,LCA,PL1	6.8 	7.2 	7.8 
CVA,LCA,PL11	10.9 	11.5 	12.5 
CVA,LCA,PL12	8.7 	9.1 	10 
CVA,LCA,PL2	7.3 	8.1 	8.8 
CVA,LCA,PL21	11.6 	12.9 	14.1 
CVA,LCA,PL22	9.5 	10.4 	11.2 
CVA,LCA,PL3	7.2 	7.5 	8.4 
CVA,LCA,PL31	12.6 	13.2 	14.4 
CVA,LCA,PL32	14.4 	15 	16.4 
CVA,LCA,PL33	15.8 	17.4 	20.1 
CVA,LCA,PL34	15.2 	15.6 	17.6 
CVA,LCA,PL4	7.5 	7.9 	9.1 
CVA,LCA,PL41	9.7 	10 	11.7 
CVA,LCA,PL42	15.7 	17 	19.2 
CVA,LCA,PL43	18.5 	18.5 	21.4 
CVA,LCA,PL5	10.4 	11.5 	13 
CVA,LCA,PL51	12.2 	13.3 	15.1 
CVA,LCA,PL52	19.8 	22.9 	25.8 
CVA,LCA,PL6	8.6 	9.3 	10.3 
CVA,LCA,PL61	15.2 	16.2 	18.6 
CVA,LCA,PL62	14.4 	15.3 	17.2 
CVA,LCA,PL63	15.6 	16.9 	18 
CVA,LCA,PT	3.7 	3.8 	4.4 
CVA,LCA,PT1	3.7 	3.8 	4.4 
CVA,LCA,PT11	7.1 	7.1 	7.7 
CVA,LCA,PT15	14.5 	14 	17.8 
CVA,LCA,PT16	6.5 	6.7 	8 
CVA,LCA,PT17	11.2 	11.1 	12.7 
CVA,LCA,PT18	8.3 	9 	10.9 
CVA,LCA,RO	4.5 	4.7 	: 
CVA,LCA,RO1	9.4 	9.6 	: 
CVA,LCA,RO11	12.4 	12.4 	: 
CVA,LCA,RO12	14.4 	14.9 	: 
CVA,LCA,RO2	8.5 	9.1 	: 
CVA,LCA,RO21	11.4 	12.3 	: 
CVA,LCA,RO22	12.7 	13.7 	: 
CVA,LCA,RO3	9.6 	9.7 	: 
CVA,LCA,RO31	11.2 	11.4 	: 
CVA,LCA,RO32	17.8 	15.5 	: 
CVA,LCA,RO4	9 	9.6 	: 
CVA,LCA,RO41	12.3 	12.7 	: 
CVA,LCA,RO42	13.5 	14.5 	: 
CVA,LCA,SE	4.3 	4.7 	4.7 
CVA,LCA,SE1	8.6 	10.4 	10 
CVA,LCA,SE11	17 	20.4 	19.8 
CVA,LCA,SE12	10 	12.1 	11.6 
CVA,LCA,SE2	6.8 	8.3 	7.8 
CVA,LCA,SE21	13.1 	16.2 	15.4 
CVA,LCA,SE22	12.8 	16.1 	15.5 
CVA,LCA,SE23	9.9 	12 	11.1 
CVA,LCA,SE3	6.7 	7 	7 
CVA,LCA,SE31	10.1 	11.8 	11.5 
CVA,LCA,SE32	13.7 	14.4 	15.1 
CVA,LCA,SE33	11.4 	11.1 	11.1 
CVA,LCA,SI	12.3 	12.3 	14.9 
CVA,LCA,SI0	12.3 	12.3 	14.9 
CVA,LCA,SI03	16.4 	16.7 	20.2 
CVA,LCA,SI04	17.2 	18 	22.2 
CVA,LCA,SK	8.2 	9.2 	8.2 
CVA,LCA,SK0	8.2 	9.2 	8.2 
CVA,LCA,SK01	29.6 	41.6 	29.4 
CVA,LCA,SK02	12.4 	13.5 	13.2 
CVA,LCA,SK03	17 	19.2 	18 
CVA,LCA,SK04	15.7 	16.9 	14.3 
CVA,LCA,UK	2.4 	2.6 	2.6 
CVA,LCA,UKC	11.5 	12.4 	12.7 
CVA,LCA,UKC1	15.7 	16.7 	18.3 
CVA,LCA,UKC2	16.7 	18.3 	16.8 
CVA,LCA,UKD	6.4 	7 	7.2 
CVA,LCA,UKD1	17.7 	18.6 	23.1 
CVA,LCA,UKD3	10.2 	10.2 	10.7 
CVA,LCA,UKD4	15.1 	17.8 	14.3 
CVA,LCA,UKD6	22.2 	23 	21.3 
CVA,LCA,UKD7	11.8 	14.9 	14.1 
CVA,LCA,UKE	7.3 	7.9 	8.5 
CVA,LCA,UKE1	22.2 	17.6 	17.5 
CVA,LCA,UKE2	15.8 	18 	18.5 
CVA,LCA,UKE3	13.3 	14.5 	16.4 
CVA,LCA,UKE4	12.1 	13.7 	13.7 
CVA,LCA,UKF	8.2 	9.2 	9 
CVA,LCA,UKF1	12.2 	12.7 	13.8 
CVA,LCA,UKF2	16.2 	17.3 	16.5 
CVA,LCA,UKF3	14.6 	20.3 	16.6 
CVA,LCA,UKG	8.8 	9.3 	8.9 
CVA,LCA,UKG1	15.7 	16.9 	15.1 
CVA,LCA,UKG2	14 	14.3 	14.8 
CVA,LCA,UKG3	15.3 	17.2 	16.1 
CVA,LCA,UKH	7.5 	8.4 	8 
CVA,LCA,UKH1	10.7 	12.2 	11.4 
CVA,LCA,UKH2	15.9 	17.4 	17.2 
CVA,LCA,UKH3	14.8 	15.1 	14.3 
CVA,LCA,UKI	7.1 	7.5 	7 
CVA,LCA,UKI3	18.9 	16.1 	5.1 
CVA,LCA,UKI4	11.3 	5.8 	20 
CVA,LCA,UKI5	13.1 	14.7 	12.2 
CVA,LCA,UKI6	18.8 	20.2 	19 
CVA,LCA,UKI7	16 	17.5 	17 
CVA,LCA,UKJ	6.6 	7.7 	7.5 
CVA,LCA,UKJ1	13.4 	15.2 	13.7 
CVA,LCA,UKJ2	10.4 	13.5 	12.8 
CVA,LCA,UKJ3	14.3 	17 	17 
CVA,LCA,UKJ4	15.8 	17.6 	17.9 
CVA,LCA,UKK	8.3 	9.4 	9.2 
CVA,LCA,UKK1	13.1 	14.8 	13.9 
CVA,LCA,UKK2	15.9 	17 	16.1 
CVA,LCA,UKK3	23.2 	30 	26 
CVA,LCA,UKK4	18.5 	20 	20.6 
CVA,LCA,UKL	9.5 	9.2 	9.7 
CVA,LCA,UKL1	11.3 	10.6 	11.7 
CVA,LCA,UKL2	17.1 	17.3 	17.4 
CVA,LCA,UKM	8.3 	8.4 	9 
CVA,LCA,UKM2	14.5 	15.2 	15.9 
CVA,LCA,UKM3	13.3 	13.4 	14.2 
CVA,LCA,UKM5	27.2 	26.8 	26.7 
CVA,LCA,UKM6	21.4 	18.9 	22.1 
CVA,LCA,UKN	13 	14.9 	13.3 
CVA,LCA,UKN0	13 	14.9 	13.3 
CVA,LCA1,AT	8.3 	8.1 	9.5 
CVA,LCA1,AT1	14.6 	15.4 	18.3 
CVA,LCA1,AT2	16.6 	15 	17.6 
CVA,LCA1,AT3	12.6 	12.1 	14 
CVA,LCA1,BE	7.3 	7.9 	9.2 
CVA,LCA1,BE1	39.5 	45.9 	80.5 
CVA,LCA1,BE2	8.7 	9.4 	11.1 
CVA,LCA1,BE3	13.7 	15.1 	16.7 
CVA,LCA1,BG	12.8 	13.8 	: 
CVA,LCA1,BG3	16.7 	18 	: 
CVA,LCA1,BG4	19.9 	21.2 	: 
CVA,LCA1,CY	17.4 	23.5 	: 
CVA,LCA1,CY0	17.4 	23.5 	: 
CVA,LCA1,CZ	9.2 	9.6 	10.5 
CVA,LCA1,CZ0	9.2 	9.6 	10.5 
CVA,LCA1,DE	3.4 	3.7 	4.1 
CVA,LCA1,DE1	9.5 	10.2 	11.3 
CVA,LCA1,DE2	9.1 	9.4 	10.3 
CVA,LCA1,DE3	22.4 	26.4 	30.5 
CVA,LCA1,DE4	18.5 	19.8 	21.1 
CVA,LCA1,DE5	38.2 	42.2 	44.3 
CVA,LCA1,DE6	41.7 	46.4 	50.5 
CVA,LCA1,DE7	13.6 	15.4 	17.6 
CVA,LCA1,DE8	19.8 	21.3 	23 
