age,sex,unit,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ADULT,T,P_HTHAB,MK	166.12 	194.66 	: 	: 	: 	: 	140.26 	134.95 	139.71 	: 
ADULT,T,P_HTHAB,MT	: 	146.76 	155.87 	165.02 	177.47 	171.46 	164.87 	167.39 	143.51 	184.67 
ADULT,T,P_HTHAB,NL	76.45 	75.06 	77.49 	85.71 	91.98 	97.62 	102.02 	105.00 	105.67 	107.46 
ADULT,T,P_HTHAB,NO	: 	100.81 	98.72 	101.56 	97.44 	102.61 	100.07 	93.13 	88.06 	93.86 
ADULT,T,P_HTHAB,PL	232.48 	225.07 	222.67 	242.38 	246.62 	262.44 	254.12 	252.05 	260.44 	258.68 
ADULT,T,P_HTHAB,PT	155.43 	159.13 	163.84 	160.48 	162.43 	153.49 	142.55 	129.90 	125.40 	124.87 
ADULT,T,P_HTHAB,RO	144.63 	168.65 	173.64 	184.14 	202.79 	193.01 	176.50 	158.82 	158.69 	156.43 
ADULT,T,P_HTHAB,RS	182.07 	178.35 	167.28 	170.04 	165.41 	168.23 	184.14 	184.34 	179.53 	158.24 
ADULT,T,P_HTHAB,SE	72.93 	72.15 	73.10 	75.35 	74.90 	83.08 	88.87 	92.07 	99.32 	97.35 
ADULT,T,P_HTHAB,SI	: 	77.66 	81.97 	89.07 	79.22 	80.84 	74.38 	79.11 	80.75 	75.62 
ADULT,T,P_HTHAB,SK	224.65 	224.08 	222.27 	225.06 	219.35 	244.28 	238.26 	227.70 	212.01 	186.33 
ADULT,T,P_HTHAB,TR	: 	354.97 	320.72 	292.01 	271.25 	257.65 	247.47 	237.77 	231.87 	: 
ADULT,T,P_HTHAB,UKC-L	: 	181.13 	184.45 	184.32 	181.40 	188.49 	188.34 	188.98 	184.60 	186.57 
ADULT,T,P_HTHAB,UKM	161.56 	164.05 	168.36 	167.28 	171.05 	172.66 	174.61 	166.46 	166.67 	165.78 
ADULT,T,P_HTHAB,UKN	100.52 	98.81 	102.35 	121.72 	128.76 	121.21 	121.04 	107.77 	111.12 	113.14 
ADULT,T,P_HTHAB,XK	: 	133.95 	: 	: 	: 	: 	77.92 	: 	: 	: 
JUVENILE,F,NR,AL	0 	1 	0 	0 	0 	0 	0 	2 	3 	32 
JUVENILE,F,NR,AT	10 	11 	12 	6 	6 	11 	9 	17 	14 	12 
JUVENILE,F,NR,BA	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
JUVENILE,F,NR,BE	: 	: 	4 	: 	4 	1 	4 	7 	1 	6 
JUVENILE,F,NR,BG	1 	0 	1 	1 	1 	2 	0 	0 	1 	2 
JUVENILE,F,NR,CH	0 	0 	1 	2 	3 	4 	3 	6 	1 	4 
JUVENILE,F,NR,CY	1 	0 	1 	0 	5 	2 	2 	0 	1 	2 
JUVENILE,F,NR,CZ	7 	8 	3 	6 	5 	9 	12 	11 	7 	7 
JUVENILE,F,NR,DK	1 	0 	0 	0 	0 	1 	0 	2 	0 	0 
JUVENILE,F,NR,EE	1 	1 	2 	2 	2 	2 	4 	1 	1 	1 
JUVENILE,F,NR,EL	8 	10 	4 	11 	12 	13 	16 	27 	25 	30 
JUVENILE,F,NR,ES	35 	41 	35 	37 	66 	70 	68 	83 	: 	: 
JUVENILE,F,NR,FI	6 	11 	9 	3 	3 	2 	3 	1 	3 	6 
JUVENILE,F,NR,FR	30 	33 	28 	35 	30 	35 	33 	17 	22 	24 
JUVENILE,F,NR,HR	7 	7 	4 	8 	6 	5 	5 	8 	7 	0 
JUVENILE,F,NR,HU	8 	17 	15 	17 	20 	16 	23 	21 	17 	24 
JUVENILE,F,NR,IE	: 	: 	1 	0 	0 	0 	0 	0 	0 	0 
JUVENILE,F,NR,IS	0 	0 	0 	0 	0 	0 	0 	0 	0 	1 
JUVENILE,F,NR,IT	95 	94 	100 	70 	91 	89 	103 	89 	81 	75 
JUVENILE,F,NR,LI	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
JUVENILE,F,NR,LT	1 	1 	1 	3 	2 	7 	5 	7 	5 	3 
JUVENILE,F,NR,LU	0 	0 	0 	1 	2 	0 	1 	1 	1 	2 
JUVENILE,F,NR,LV	1 	0 	3 	2 	0 	3 	3 	5 	21 	8 
JUVENILE,F,NR,ME	0 	0 	0 	0 	0 	1 	1 	1 	2 	2 
JUVENILE,F,NR,MK	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 
JUVENILE,F,NR,MT	2 	0 	0 	0 	0 	0 	0 	0 	0 	: 
JUVENILE,F,NR,NL	18 	14 	10 	9 	17 	18 	25 	24 	28 	30 
JUVENILE,F,NR,NO	: 	1 	0 	0 	0 	1 	0 	0 	1 	0 
JUVENILE,F,NR,PL	158 	107 	243 	287 	178 	209 	236 	264 	263 	275 
JUVENILE,F,NR,PT	: 	: 	: 	: 	14 	: 	: 	: 	: 	: 
JUVENILE,F,NR,RO	20 	20 	16 	20 	20 	17 	21 	24 	19 	15 
JUVENILE,F,NR,RS	6 	12 	9 	12 	12 	9 	19 	11 	30 	27 
JUVENILE,F,NR,SE	0 	0 	0 	1 	0 	0 	0 	0 	0 	0 
JUVENILE,F,NR,SI	: 	1 	0 	0 	0 	0 	0 	0 	0 	0 
JUVENILE,F,NR,SK	0 	0 	3 	3 	6 	5 	4 	1 	3 	2 
JUVENILE,F,NR,TR	: 	79 	74 	63 	50 	55 	72 	68 	61 	: 
JUVENILE,F,NR,UKC-L	: 	0 	0 	0 	8 	24 	23 	28 	57 	70 
JUVENILE,F,NR,UKM	: 	: 	15 	26 	26 	34 	44 	50 	44 	44 
JUVENILE,F,NR,UKN	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 
JUVENILE,F,NR,XK	2 	2 	0 	0 	2 	1 	0 	: 	: 	: 
JUVENILE,F,P_HTHAB,AL	0.00 	0.34 	0.00 	0.00 	: 	: 	: 	: 	: 	: 
JUVENILE,F,P_HTHAB,AT	1.35 	1.59 	1.63 	0.83 	0.82 	1.50 	1.21 	2.26 	1.84 	1.56 
JUVENILE,F,P_HTHAB,BE	: 	: 	0.36 	: 	0.36 	0.09 	0.36 	0.65 	0.09 	0.56 
JUVENILE,F,P_HTHAB,BG	0.17 	0.00 	0.17 	0.17 	0.17 	0.35 	0.00 	0.00 	0.17 	0.33 
JUVENILE,F,P_HTHAB,CH	0.00 	0.00 	0.14 	0.28 	0.42 	0.56 	0.42 	0.85 	0.14 	0.57 
JUVENILE,F,P_HTHAB,CY	1.22 	0.00 	1.21 	0.00 	5.87 	2.32 	2.31 	0.00 	1.16 	2.32 
JUVENILE,F,P_HTHAB,CZ	0.75 	0.87 	0.33 	0.67 	0.56 	1.01 	1.33 	1.23 	0.78 	0.78 
JUVENILE,F,P_HTHAB,DK	0.18 	0.00 	0.00 	0.00 	0.00 	0.17 	0.00 	0.34 	0.00 	0.00 
JUVENILE,F,P_HTHAB,EE	0.82 	0.83 	1.68 	1.69 	1.69 	1.81 	3.37 	0.90 	0.83 	0.82 
JUVENILE,F,P_HTHAB,EL	0.88 	1.09 	0.43 	1.17 	1.27 	1.36 	1.67 	2.81 	2.59 	3.09 
JUVENILE,F,P_HTHAB,ES	0.86 	1.01 	0.86 	0.91 	1.63 	1.73 	1.69 	2.07 	: 	: 
JUVENILE,F,P_HTHAB,FI	1.15 	2.10 	1.71 	0.57 	0.57 	0.38 	0.57 	0.19 	0.56 	1.12 
JUVENILE,F,P_HTHAB,FR	0.42 	0.46 	0.39 	0.49 	0.42 	0.49 	0.47 	0.24 	0.31 	0.34 
JUVENILE,F,P_HTHAB,HR	1.97 	1.93 	1.08 	2.12 	1.57 	1.29 	1.28 	2.04 	1.77 	0.00 
JUVENILE,F,P_HTHAB,HU	0.96 	2.04 	1.90 	2.02 	2.34 	1.84 	2.63 	2.36 	1.88 	2.62 
JUVENILE,F,P_HTHAB,IE	: 	: 	0.17 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
JUVENILE,F,P_HTHAB,IS	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	2.55 
JUVENILE,F,P_HTHAB,IT	1.98 	1.94 	2.04 	1.42 	1.87 	1.83 	2.11 	1.82 	1.66 	1.54 
JUVENILE,F,P_HTHAB,LI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 
JUVENILE,F,P_HTHAB,LT	0.40 	0.40 	0.39 	1.16 	0.76 	2.58 	1.78 	2.38 	1.64 	0.95 
JUVENILE,F,P_HTHAB,LU	0.00 	0.00 	0.00 	1.94 	3.72 	0.00 	1.89 	2.03 	1.93 	3.91 
JUVENILE,F,P_HTHAB,LV	0.58 	0.00 	1.77 	1.26 	0.00 	1.75 	1.71 	2.73 	11.06 	4.08 
JUVENILE,F,P_HTHAB,ME	0.00 	0.00 	0.00 	0.00 	0.00 	1.44 	1.43 	1.41 	2.80 	2.77 
JUVENILE,F,P_HTHAB,MK	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 
JUVENILE,F,P_HTHAB,MT	5.26 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 
JUVENILE,F,P_HTHAB,NL	1.08 	0.84 	0.60 	0.54 	1.01 	1.06 	1.46 	1.40 	1.62 	1.73 
JUVENILE,F,P_HTHAB,NO	: 	0.18 	0.00 	0.00 	0.00 	0.18 	0.00 	0.00 	0.19 	0.00 
JUVENILE,F,P_HTHAB,PL	4.74 	3.21 	7.25 	8.50 	5.22 	6.06 	6.74 	7.45 	7.34 	7.53 
JUVENILE,F,P_HTHAB,PT	: 	: 	: 	: 	1.53 	: 	: 	: 	: 	: 
JUVENILE,F,P_HTHAB,RO	1.11 	1.10 	0.88 	1.10 	1.09 	0.91 	1.10 	1.24 	1.00 	0.74 
JUVENILE,F,P_HTHAB,RS	1.01 	2.02 	1.50 	1.99 	1.96 	1.45 	3.03 	1.66 	4.48 	3.98 
JUVENILE,F,P_HTHAB,SE	0.00 	0.00 	0.00 	0.11 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
JUVENILE,F,P_HTHAB,SI	: 	0.57 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 
JUVENILE,F,P_HTHAB,SK	0.00 	0.00 	0.61 	0.61 	1.22 	1.01 	0.80 	0.20 	0.58 	0.38 
JUVENILE,F,P_HTHAB,TR	: 	0.71 	0.67 	0.57 	0.45 	0.50 	0.65 	0.62 	0.56 	: 
JUVENILE,F,P_HTHAB,UKC-L	: 	0.00 	0.00 	0.00 	0.14 	0.41 	0.39 	0.48 	0.98 	1.21 
JUVENILE,F,P_HTHAB,UKM	: 	: 	2.98 	5.15 	5.14 	6.70 	8.64 	9.76 	8.55 	8.55 
JUVENILE,F,P_HTHAB,UKN	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.96 
JUVENILE,F,P_HTHAB,XK	: 	0.70 	: 	: 	: 	: 	: 	: 	: 	: 
JUVENILE,M,NR,AL	40 	58 	89 	87 	107 	97 	121 	98 	85 	55 
JUVENILE,M,NR,AT	132 	105 	98 	74 	97 	113 	137 	141 	172 	: 
JUVENILE,M,NR,BA	23 	: 	: 	: 	: 	: 	: 	: 	: 	: 
JUVENILE,M,NR,BE	: 	: 	10 	: 	86 	102 	98 	83 	59 	64 
JUVENILE,M,NR,BG	29 	27 	45 	62 	77 	73 	89 	73 	57 	73 
JUVENILE,M,NR,CH	37 	19 	18 	23 	27 	50 	26 	39 	53 	66 
JUVENILE,M,NR,CY	20 	15 	23 	23 	32 	24 	14 	14 	27 	26 
JUVENILE,M,NR,CZ	67 	77 	95 	101 	108 	163 	193 	197 	: 	: 
JUVENILE,M,NR,DK	8 	16 	6 	9 	12 	6 	9 	15 	20 	: 
JUVENILE,M,NR,EE	19 	28 	22 	31 	31 	34 	25 	42 	33 	51 
JUVENILE,M,NR,EL	5 	12 	9 	20 	440 	587 	571 	541 	485 	501 
JUVENILE,M,NR,ES	580 	609 	634 	699 	891 	1082 	1255 	1402 	: 	: 
JUVENILE,M,NR,FI	92 	82 	80 	98 	79 	85 	68 	72 	99 	87 
JUVENILE,M,NR,FR	742 	725 	680 	669 	701 	689 	679 	671 	647 	651 
JUVENILE,M,NR,HR	38 	38 	47 	62 	77 	63 	50 	31 	: 	: 
JUVENILE,M,NR,HU	229 	290 	337 	407 	458 	498 	501 	540 	495 	507 
JUVENILE,M,NR,IE	: 	: 	59 	12 	8 	19 	23 	23 	55 	46 
JUVENILE,M,NR,IS	0 	0 	0 	0 	0 	1 	2 	0 	2 	1 
JUVENILE,M,NR,IT	1335 	1231 	1146 	1052 	1221 	1312 	1325 	1213 	1126 	1082 
JUVENILE,M,NR,LI	0 	0 	0 	0 	0 	0 	0 	1 	0 	: 
JUVENILE,M,NR,LT	50 	57 	84 	81 	87 	105 	125 	151 	183 	197 
JUVENILE,M,NR,LU	2 	7 	2 	3 	2 	1 	6 	6 	4 	3 
JUVENILE,M,NR,LV	40 	43 	39 	36 	46 	52 	65 	83 	168 	240 
JUVENILE,M,NR,ME	12 	4 	5 	5 	2 	8 	8 	6 	7 	: 
JUVENILE,M,NR,MK	30 	18 	: 	: 	: 	: 	63 	65 	70 	62 
JUVENILE,M,NR,MT	16 	16 	14 	14 	13 	32 	28 	34 	29 	: 
JUVENILE,M,NR,NL	402 	407 	401 	452 	456 	527 	524 	631 	646 	763 
JUVENILE,M,NR,NO	: 	2 	5 	3 	8 	15 	10 	8 	7 	5 
JUVENILE,M,NR,PL	1969 	2061 	3154 	3716 	3391 	3944 	4129 	4586 	5307 	5484 
JUVENILE,M,NR,PT	: 	: 	: 	: 	288 	: 	: 	: 	: 	: 
JUVENILE,M,NR,RO	375 	387 	300 	296 	492 	427 	429 	435 	451 	416 
JUVENILE,M,NR,RS	206 	227 	219 	240 	228 	223 	257 	238 	246 	225 
JUVENILE,M,NR,SE	24 	13 	18 	11 	10 	12 	7 	15 	: 	: 
JUVENILE,M,NR,SI	: 	8 	3 	5 	11 	1 	9 	7 	4 	: 
JUVENILE,M,NR,SK	72 	76 	86 	90 	93 	132 	128 	139 	154 	: 
JUVENILE,M,NR,TR	: 	2323 	2247 	1923 	1829 	1946 	2262 	2045 	2501 	: 
JUVENILE,M,NR,UKC-L	: 	635 	680 	740 	857 	1256 	1557 	1628 	2063 	2455 
JUVENILE,M,NR,UKM	: 	: 	447 	506 	540 	656 	737 	816 	979 	977 
JUVENILE,M,NR,UKN	0 	0 	0 	0 	0 	0 	4 	17 	18 	39 
JUVENILE,M,NR,XK	36 	57 	41 	41 	39 	54 	43 	: 	: 	: 
JUVENILE,M,P_HTHAB,AL	11.85 	18.19 	26.83 	25.09 	: 	: 	: 	: 	: 	: 
JUVENILE,M,P_HTHAB,AT	16.79 	13.49 	12.58 	9.66 	12.61 	14.61 	17.55 	17.84 	21.48 	: 
JUVENILE,M,P_HTHAB,BE	: 	: 	0.86 	: 	7.39 	8.81 	8.54 	7.33 	5.23 	5.71 
JUVENILE,M,P_HTHAB,BG	4.72 	4.41 	7.40 	10.23 	12.71 	12.02 	14.57 	11.78 	9.06 	11.36 
JUVENILE,M,P_HTHAB,CH	4.77 	2.48 	2.36 	3.04 	3.60 	6.68 	3.48 	5.23 	7.10 	8.85 
JUVENILE,M,P_HTHAB,CY	23.23 	17.33 	28.13 	26.24 	35.61 	26.39 	15.33 	15.29 	29.50 	28.42 
JUVENILE,M,P_HTHAB,CZ	6.80 	7.92 	9.89 	10.64 	11.44 	17.29 	20.36 	20.81 	: 	: 
JUVENILE,M,P_HTHAB,DK	1.34 	2.67 	1.00 	1.49 	1.97 	0.97 	1.45 	2.41 	3.21 	: 
JUVENILE,M,P_HTHAB,EE	14.81 	22.08 	17.49 	24.74 	24.74 	27.13 	21.00 	35.11 	25.95 	39.48 
JUVENILE,M,P_HTHAB,EL	0.52 	1.25 	0.93 	2.15 	44.35 	58.77 	57.14 	53.84 	48.03 	49.47 
JUVENILE,M,P_HTHAB,ES	13.47 	14.16 	14.74 	16.26 	20.67 	25.14 	29.33 	32.96 	: 	: 
JUVENILE,M,P_HTHAB,FI	16.77 	14.95 	14.56 	17.81 	14.33 	15.38 	12.28 	12.96 	17.76 	15.55 
JUVENILE,M,P_HTHAB,FR	9.85 	9.56 	8.99 	8.93 	9.40 	9.29 	9.20 	9.13 	8.83 	8.90 
JUVENILE,M,P_HTHAB,HR	10.11 	10.45 	11.99 	15.55 	19.08 	15.50 	12.18 	7.51 	: 	: 
JUVENILE,M,P_HTHAB,HU	26.02 	32.92 	38.11 	45.69 	50.74 	54.39 	54.34 	57.65 	52.07 	52.59 
JUVENILE,M,P_HTHAB,IE	: 	: 	9.59 	1.97 	1.33 	3.20 	3.93 	3.99 	9.70 	8.29 
JUVENILE,M,P_HTHAB,IS	0.00 	0.00 	0.00 	0.00 	0.00 	2.59 	4.87 	0.00 	4.85 	2.44 
JUVENILE,M,P_HTHAB,IT	26.17 	23.89 	22.05 	20.11 	23.70 	25.55 	25.63 	24.78 	21.77 	21.02 
JUVENILE,M,P_HTHAB,LI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	29.17 	0.00 	: 
JUVENILE,M,P_HTHAB,LT	20.13 	21.44 	31.23 	29.66 	31.19 	36.79 	42.40 	48.91 	57.13 	59.56 
JUVENILE,M,P_HTHAB,LU	3.36 	1.21 	3.64 	5.52 	3.52 	1.89 	10.77 	11.51 	7.76 	5.55 
JUVENILE,M,P_HTHAB,LV	21.82 	23.76 	21.80 	20.29 	25.82 	28.85 	35.27 	43.29 	84.61 	117.45 
JUVENILE,M,P_HTHAB,ME	17.72 	5.54 	6.87 	6.82 	2.70 	11.95 	10.57 	7.82 	9.09 	: 
JUVENILE,M,P_HTHAB,MK	13.92 	8.29 	: 	: 	: 	: 	27.30 	27.75 	29.32 	25.48 
JUVENILE,M,P_HTHAB,MT	39.58 	42.27 	35.27 	35.96 	37.22 	81.13 	70.00 	83.32 	69.76 	: 
JUVENILE,M,P_HTHAB,NL	23.06 	23.27 	22.86 	25.65 	25.73 	29.54 	29.25 	35.09 	35.78 	42.06 
JUVENILE,M,P_HTHAB,NO	: 	0.35 	0.87 	0.52 	1.39 	2.62 	1.75 	1.41 	1.24 	0.89 
JUVENILE,M,P_HTHAB,PL	56.05 	58.65 	89.27 	104.45 	94.38 	108.62 	112.14 	123.20 	140.86 	142.90 
JUVENILE,M,P_HTHAB,PT	: 	: 	: 	: 	29.94 	: 	: 	: 	: 	: 
JUVENILE,M,P_HTHAB,RO	19.71 	20.24 	15.64 	15.40 	25.32 	21.66 	21.30 	21.37 	22.52 	19.53 
JUVENILE,M,P_HTHAB,RS	32.77 	35.95 	34.48 	37.47 	35.09 	33.95 	38.63 	34.07 	34.83 	31.47 
JUVENILE,M,P_HTHAB,SE	2.24 	1.25 	1.76 	1.10 	1.01 	1.22 	0.71 	1.52 	: 	: 
JUVENILE,M,P_HTHAB,SI	: 	4.29 	1.62 	2.71 	6.00 	0.55 	4.99 	3.91 	2.24 	: 
JUVENILE,M,P_HTHAB,SK	14.00 	14.82 	16.74 	17.45 	17.95 	25.26 	24.21 	25.89 	28.28 	: 
JUVENILE,M,P_HTHAB,TR	: 	19.79 	19.16 	16.45 	15.70 	16.69 	19.41 	17.60 	21.65 	: 
JUVENILE,M,P_HTHAB,UKC-L	: 	10.04 	10.83 	11.86 	13.83 	20.41 	25.45 	26.75 	34.01 	40.59 
JUVENILE,M,P_HTHAB,UKM	: 	: 	84.75 	95.67 	101.77 	123.17 	137.96 	152.07 	181.95 	181.54 
JUVENILE,M,P_HTHAB,UKN	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	1.81 	7.71 	8.17 	17.71 
JUVENILE,M,P_HTHAB,XK	: 	18.92 	: 	: 	: 	: 	: 	: 	: 	: 
JUVENILE,T,NR,AL	40 	59 	89 	87 	107 	97 	121 	100 	88 	87 
JUVENILE,T,NR,AT	142 	116 	110 	80 	103 	124 	146 	158 	186 	170 
JUVENILE,T,NR,BA	24 	11 	21 	28 	39 	: 	30 	31 	: 	: 
JUVENILE,T,NR,BE	: 	: 	14 	: 	90 	103 	102 	90 	60 	70 
JUVENILE,T,NR,BG	30 	27 	46 	63 	78 	75 	89 	73 	58 	75 
JUVENILE,T,NR,CH	37 	19 	19 	25 	30 	54 	29 	45 	54 	72 
JUVENILE,T,NR,CY	21 	15 	24 	23 	37 	26 	16 	14 	28 	28 
JUVENILE,T,NR,CZ	74 	85 	98 	107 	113 	172 	205 	208 	165 	213 
JUVENILE,T,NR,DK	9 	16 	6 	9 	12 	7 	9 	17 	20 	9 
JUVENILE,T,NR,EE	20 	29 	24 	33 	33 	36 	29 	43 	34 	52 
JUVENILE,T,NR,EL	13 	22 	13 	31 	452 	600 	587 	568 	510 	531 
JUVENILE,T,NR,ES	615 	650 	669 	736 	957 	1152 	1323 	1485 	: 	: 
JUVENILE,T,NR,FI	98 	93 	89 	101 	82 	87 	71 	73 	102 	93 
JUVENILE,T,NR,FR	772 	758 	708 	704 	731 	724 	712 	692 	669 	675 
JUVENILE,T,NR,HR	45 	45 	51 	70 	83 	68 	55 	39 	64 	41 
JUVENILE,T,NR,HU	237 	307 	352 	424 	478 	514 	524 	561 	512 	531 
JUVENILE,T,NR,IE	: 	: 	60 	12 	8 	19 	23 	23 	55 	46 
JUVENILE,T,NR,IS	0 	0 	0 	0 	0 	1 	2 	0 	2 	2 
JUVENILE,T,NR,IT	1430 	1325 	1246 	1122 	1312 	1401 	1428 	1302 	1207 	1157 
JUVENILE,T,NR,LI	0 	0 	0 	0 	0 	0 	0 	1 	0 	: 
JUVENILE,T,NR,LT	51 	58 	85 	84 	89 	112 	130 	158 	188 	200 
JUVENILE,T,NR,LU	2 	7 	2 	4 	4 	1 	7 	7 	5 	5 
JUVENILE,T,NR,LV	41 	43 	42 	38 	46 	55 	68 	88 	189 	248 
JUVENILE,T,NR,ME	12 	4 	5 	5 	2 	9 	9 	7 	9 	9 
JUVENILE,T,NR,MK	30 	18 	: 	: 	: 	: 	63 	65 	70 	62 
JUVENILE,T,NR,MT	18 	16 	14 	14 	13 	32 	28 	34 	29 	31 
JUVENILE,T,NR,NL	420 	421 	411 	461 	473 	545 	549 	655 	674 	793 
JUVENILE,T,NR,NO	: 	3 	5 	3 	8 	16 	10 	8 	8 	5 
JUVENILE,T,NR,PL	2127 	2168 	3397 	4003 	3569 	4153 	4365 	4850 	5570 	5759 
JUVENILE,T,NR,PT	336 	329 	366 	438 	553 	613 	634 	547 	521 	352 
JUVENILE,T,NR,RO	395 	407 	316 	316 	512 	444 	450 	459 	470 	431 
JUVENILE,T,NR,RS	212 	239 	228 	252 	240 	232 	276 	249 	276 	252 
JUVENILE,T,NR,SE	24 	13 	18 	12 	10 	12 	7 	15 	6 	15 
JUVENILE,T,NR,SI	: 	9 	3 	5 	11 	1 	9 	7 	4 	12 
JUVENILE,T,NR,SK	72 	76 	89 	93 	99 	137 	132 	140 	157 	167 
JUVENILE,T,NR,TR	: 	2402 	2321 	1986 	1879 	2001 	2334 	2113 	2679 	: 
JUVENILE,T,NR,UKC-L	: 	635 	680 	740 	865 	1280 	1580 	1656 	2120 	2525 
JUVENILE,T,NR,UKM	349 	432 	462 	532 	566 	690 	780 	866 	1023 	1021 
JUVENILE,T,NR,UKN	0 	0 	0 	0 	0 	0 	4 	17 	18 	41 
JUVENILE,T,NR,XK	38 	59 	41 	41 	41 	55 	43 	: 	: 	: 
JUVENILE,T,P_HTHAB,AL	6.14 	9.60 	13.91 	13.00 	: 	: 	: 	: 	: 	: 
JUVENILE,T,P_HTHAB,AT	9.31 	7.68 	7.26 	5.36 	6.87 	8.22 	9.58 	10.25 	11.90 	10.77 
JUVENILE,T,P_HTHAB,BE	: 	: 	0.61 	: 	3.96 	4.55 	4.54 	4.06 	2.72 	3.19 
JUVENILE,T,P_HTHAB,BG	2.51 	2.27 	3.89 	5.34 	6.62 	6.35 	7.49 	6.06 	4.74 	6.00 
JUVENILE,T,P_HTHAB,CH	2.45 	1.27 	1.28 	1.70 	2.05 	3.71 	1.99 	3.11 	3.72 	4.97 
JUVENILE,T,P_HTHAB,CY	12.50 	8.88 	15.00 	13.46 	21.14 	14.66 	9.00 	7.85 	15.74 	15.74 
JUVENILE,T,P_HTHAB,CZ	3.85 	4.48 	5.23 	5.78 	6.14 	9.36 	11.10 	11.28 	8.92 	11.50 
JUVENILE,T,P_HTHAB,DK	0.77 	1.37 	0.51 	0.76 	1.01 	0.58 	0.74 	1.40 	1.64 	0.74 
JUVENILE,T,P_HTHAB,EE	8.01 	11.74 	9.81 	13.54 	13.54 	14.76 	12.61 	18.48 	14.44 	20.71 
JUVENILE,T,P_HTHAB,EL	0.69 	1.17 	0.68 	1.61 	23.29 	30.69 	29.99 	28.88 	25.82 	26.75 
JUVENILE,T,P_HTHAB,ES	7.36 	7.79 	8.01 	8.82 	11.43 	13.78 	15.92 	17.97 	: 	: 
JUVENILE,T,P_HTHAB,FI	9.14 	8.67 	8.28 	9.38 	7.60 	8.04 	6.55 	6.71 	9.34 	8.49 
JUVENILE,T,P_HTHAB,FR	5.24 	5.11 	4.79 	4.81 	5.01 	5.00 	4.94 	4.82 	4.67 	4.72 
JUVENILE,T,P_HTHAB,HR	6.15 	6.03 	6.68 	9.02 	10.56 	8.57 	6.87 	4.84 	7.89 	5.02 
JUVENILE,T,P_HTHAB,HU	13.83 	17.89 	20.45 	24.45 	27.20 	28.81 	29.14 	30.71 	27.61 	28.23 
JUVENILE,T,P_HTHAB,IE	: 	: 	4.98 	1.01 	0.68 	1.64 	2.02 	2.05 	4.97 	4.25 
JUVENILE,T,P_HTHAB,IS	0.00 	0.00 	0.00 	0.00 	0.00 	1.25 	2.49 	0.00 	2.47 	2.49 
JUVENILE,T,P_HTHAB,IT	14.43 	13.24 	12.34 	11.05 	13.09 	14.01 	14.22 	12.94 	12.01 	11.56 
JUVENILE,T,P_HTHAB,LI	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	14.88 	0.00 	: 
JUVENILE,T,P_HTHAB,LT	9.99 	11.19 	16.21 	15.77 	16.37 	20.13 	22.61 	26.22 	30.09 	30.99 
JUVENILE,T,P_HTHAB,LU	1.83 	1.21 	1.77 	3.57 	3.62 	0.92 	6.81 	6.53 	4.71 	4.75 
JUVENILE,T,P_HTHAB,LV	11.50 	12.21 	12.05 	10.99 	13.26 	15.64 	18.88 	23.47 	48.66 	61.97 
JUVENILE,T,P_HTHAB,ME	9.20 	2.88 	3.58 	3.55 	1.40 	6.24 	6.18 	4.74 	6.06 	6.02 
JUVENILE,T,P_HTHAB,MK	7.62 	4.29 	: 	: 	: 	: 	14.09 	14.31 	15.11 	13.13 
JUVENILE,T,P_HTHAB,MT	22.95 	20.59 	19.25 	18.50 	18.00 	41.71 	36.01 	42.89 	35.88 	37.64 
JUVENILE,T,P_HTHAB,NL	12.34 	12.32 	11.99 	13.39 	13.66 	15.63 	15.68 	18.64 	19.09 	22.36 
JUVENILE,T,P_HTHAB,NO	: 	0.27 	0.44 	0.27 	0.75 	1.43 	0.90 	0.72 	0.72 	0.45 
JUVENILE,T,P_HTHAB,PL	31.07 	31.66 	49.34 	57.73 	50.95 	58.64 	60.76 	66.75 	75.79 	76.91 
JUVENILE,T,P_HTHAB,PT	18.87 	18.26 	20.05 	23.64 	29.42 	32.23 	32.86 	27.94 	26.34 	17.67 
JUVENILE,T,P_HTHAB,RO	10.67 	10.93 	8.46 	8.44 	13.52 	11.56 	11.46 	11.57 	12.05 	10.37 
JUVENILE,T,P_HTHAB,RS	17.37 	19.49 	18.47 	20.24 	19.02 	18.18 	21.36 	18.32 	20.06 	18.09 
