unit,geo\time	2015 	2012 	2009 
PC,EU28	7.5 	: 	: 
PC,EU_V	7.9 	7.6 	7.2 
PC,FI	4 	3.8 	3.4 
PC,FR	9.8 	9.8 	9.6 
PC,HR	5 	: 	: 
PC,HU	7.5 	7.3 	7.6 
PC,IE	6.5 	6.7 	6 
PC,IT	9.5 	9.1 	8.6 
PC,LT	4.7 	3.7 	4.4 
PC,LU	11.2 	12.9 	10.4 
PC,LV	4 	3.5 	3.2 
PC,MT	26.9 	29.6 	: 
PC,NL	21.4 	20.5 	19.1 
PC,PL	7.6 	7.2 	6.5 
PC,PT	6.9 	6.8 	6.7 
PC,RO	3 	3 	: 
PC,SE	5.1 	4.4 	3.6 
PC,SI	6.2 	5.8 	5.8 
PC,SK	5.9 	5.7 	5.9 
PC,UK	11.5 	11.2 	11.2 
