isco08,ind_type,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
OC264_265,EMP_JOB1,PC,TR	96 	98 	96 	97 	98 b	95 	97 b	97 
OC264_265,EMP_JOB1,PC,UK	93 	92 	93 	92 	92 	90 	92 	91 
OC264_265,I5_8,PC,AT	72 	69 	66 	74 	65 	61 	64 	51 
OC264_265,I5_8,PC,BE	82 b	80 b	75 	80 	79 	73 	80 b	81 
OC264_265,I5_8,PC,BG	70 	76 	76 	76 	76 	80 	71 	67 
OC264_265,I5_8,PC,CH	70 	71 	70 	70 	67 	69 	67 	67 
OC264_265,I5_8,PC,CY	86 	75 	68 	76 b	78 	82 	77 	74 
OC264_265,I5_8,PC,CZ	64 	72 	71 	67 	68 	68 	65 	67 
OC264_265,I5_8,PC,DE	70 	70 	69 	70 	71 	70 	69 b	70 
OC264_265,I5_8,PC,DK	71 	71 b	70 b	75 	70 	71 	72 	64 
OC264_265,I5_8,PC,EE	69 	82 	78 	67 	74 	82 	81 	80 
OC264_265,I5_8,PC,EL	55 	55 	54 	54 	49 	58 	46 	46 
OC264_265,I5_8,PC,ES	80 	81 	81 	81 	84 	82 	81 	77 
OC264_265,I5_8,PC,EU28	73 	73 	72 	72 	72 	69 	70 	68 
OC264_265,I5_8,PC,FI	64 	61 	57 	64 	64 	56 	58 	60 
OC264_265,I5_8,PC,FR	74 	75 	73 	68 	66 b	60 b	65 	61 
OC264_265,I5_8,PC,HR	84 	90 u	72 u	73 u	70 u	69 	68 u	77 u
OC264_265,I5_8,PC,HU	80 	73 	78 	80 	69 	79 	77 	67 
OC264_265,I5_8,PC,IE	79 	78 b	78 	79 	74 	73 	73 	75 
OC264_265,I5_8,PC,IS	67 	69 	64 	70 	65 	59 	71 	73 
OC264_265,I5_8,PC,IT	61 	56 b	57 	55 	57 	53 	47 	49 
OC264_265,I5_8,PC,LT	88 	83 	89 	87 	91 	90 	87 	87 
OC264_265,I5_8,PC,LU	90 	94 	96 	96 b	93 	94 	89 	83 
OC264_265,I5_8,PC,LV	75 	71 	74 	73 	70 	58 	68 	67 
OC264_265,I5_8,PC,ME	90 	88 	66 u	89 	82 u	66 u	: u	: u
OC264_265,I5_8,PC,MK	73 	79 	78 	70 	75 	84 	81 	81 
OC264_265,I5_8,PC,MT	66 	62 b	59 	66 	55 u	42 u	45 u	54 u
OC264_265,I5_8,PC,NL	72 	72 	72 	70 	66 	67 b	75 	70 
OC264_265,I5_8,PC,NO	72 	65 	68 	66 	72 	75 	76 	61 
OC264_265,I5_8,PC,PL	85 	85 	82 	83 	85 	81 	78 	77 
OC264_265,I5_8,PC,PT	68 	70 	63 	57 	59 	63 	65 	57 
OC264_265,I5_8,PC,RO	81 	82 	84 	78 	82 	90 	84 	84 
OC264_265,I5_8,PC,RS	51 	54 	51 	59 	49 b	61 	: 	: 
OC264_265,I5_8,PC,SE	60 	63 	66 	61 	59 	58 	57 	56 
OC264_265,I5_8,PC,SI	79 	83 	71 	64 	74 	73 	66 	67 
OC264_265,I5_8,PC,SK	66 	70 	66 	80 	70 	69 	73 	72 
OC264_265,I5_8,PC,TR	55 	64 	56 	58 	56 b	55 	53 b	42 
OC264_265,I5_8,PC,UK	79 	79 	79 	81 	79 	76 	78 	75 
OC264_265,SAL_PERM,PC,AT	84 	81 	76 	78 	84 	83 	85 	88 
OC264_265,SAL_PERM,PC,BE	72 b	75 b	74 	79 	78 	75 	78 b	78 
OC264_265,SAL_PERM,PC,BG	96 	97 	98 	93 	93 	96 	97 	95 
OC264_265,SAL_PERM,PC,CH	88 	89 	86 	87 	86 	92 	87 	86 
OC264_265,SAL_PERM,PC,CY	87 	81 	82 u	82 u	78 u	79 u	86 u	93 u
OC264_265,SAL_PERM,PC,CZ	90 	94 	91 	90 	89 	92 	94 	92 
OC264_265,SAL_PERM,PC,DE	83 	82 	81 	82 	82 	81 	83 b	82 
OC264_265,SAL_PERM,PC,DK	81 	80 b	74 b	82 	84 	83 	82 	84 
OC264_265,SAL_PERM,PC,EE	97 	96 	96 	97 	97 	95 	94 	90 
OC264_265,SAL_PERM,PC,EL	81 	84 	87 	81 	78 	86 	90 	83 
OC264_265,SAL_PERM,PC,ES	64 	67 	72 	72 	67 	69 	65 	62 
OC264_265,SAL_PERM,PC,EU28	77 	77 	78 	77 	76 	76 	77 	76 
OC264_265,SAL_PERM,PC,FI	76 	71 	76 	81 	80 	79 	84 	81 
OC264_265,SAL_PERM,PC,FR	60 	55 	56 	55 	56 b	52 b	53 	52 
OC264_265,SAL_PERM,PC,HR	81 u	74 u	68 u	64 u	63 u	90 u	88 u	80 u
