indic,unit,geo\time	2005Q1 	2005Q2 	2005Q3 	2005Q4 	2006Q1 	2006Q2 	2006Q3 	2006Q4 	2007Q1 	2007Q2 	2007Q3 	2007Q4 	2008Q1 	2008Q2 	2008Q3 	2008Q4 	2009Q1 	2009Q2 	2009Q3 	2009Q4 	2010Q1 	2010Q2 	2010Q3 	2010Q4 	2011Q1 	2011Q2 	2011Q3 	2011Q4 	2012Q1 	2012Q2 	2012Q3 	2012Q4 	2013Q1 	2013Q2 	2013Q3 	2013Q4 	2014Q1 	2014Q2 	2014Q3 	2014Q4 	2015Q1 	2015Q2 	2015Q3 	2015Q4 	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 	2018Q3 	2018Q4 	2019Q1 	2019Q2 
TOTAL,I15_NSA,EU	83.51 p	84.94 p	87.00 p	87.80 p	89.60 p	92.06 p	94.58 p	96.72 p	98.43 p	100.86 p	102.59 p	102.54 p	102.57 p	103.01 p	101.91 p	99.35 p	97.09 p	96.80 p	97.35 p	97.72 p	97.37 p	98.58 p	99.16 p	98.75 p	98.68 p	99.43 p	99.15 p	97.98 p	97.21 p	97.25 p	97.01 p	96.45 p	95.26 p	95.83 p	96.24 p	95.85 p	96.03 p	97.38 p	98.12 p	97.88 p	97.98 p	99.67 p	101.00 p	101.35 p	102.41 p	104.14 p	105.77 p	106.36 p	107.14 p	109.03 p	110.74 p	111.44 p	112.37 p	114.12 p	115.92 p	116.59 p	117.01 p	118.90 p
TOTAL,I15_NSA,EU28	82.90 p	84.34 p	86.41 p	87.24 p	89.58 p	92.00 p	94.57 p	96.73 p	98.46 p	100.88 p	102.60 p	102.57 p	102.60 p	103.04 p	101.95 p	99.39 p	97.14 p	96.84 p	97.37 p	97.73 p	97.37 p	98.58 p	99.15 p	98.74 p	98.67 p	99.42 p	99.14 p	97.98 p	97.22 p	97.24 p	97.00 p	96.44 p	95.24 p	95.81 p	96.23 p	95.85 p	96.03 p	97.38 p	98.12 p	97.88 p	97.98 p	99.67 p	101.00 p	101.35 p	102.41 p	104.14 p	105.77 p	106.36 p	107.14 p	109.03 p	110.74 p	111.44 p	112.37 p	114.12 p	115.92 p	116.59 p	117.01 p	118.90 p
TOTAL,I15_NSA,FI	73.62 p	75.74 p	76.97 p	78.67 p	79.60 p	81.41 p	81.98 p	83.23 p	85.08 p	86.56 p	86.82 p	87.00 p	87.88 p	88.65 p	87.52 p	84.19 p	86.17 	87.53 	88.85 	90.70 	92.75 	93.56 	94.62 	94.60 	95.84 	97.55 	97.31 	96.76 	98.39 	99.44 	99.36 	99.63 	100.26 	100.68 	100.54 	99.93 	100.06 	100.47 	100.03 	99.42 	99.81 	100.16 	100.12 	99.90 	99.80 	100.98 	100.58 	100.40 	101.75 	102.68 	102.05 	101.56 	101.71 	103.52 	103.02 	103.28 	102.68 	104.38 
TOTAL,I15_NSA,FR	79.81 	83.19 	87.10 	88.77 	90.81 	93.64 	96.59 	97.38 	98.11 	99.83 	102.11 	102.76 	102.13 	102.42 	102.72 	99.24 	95.51 	94.16 	95.68 	95.95 	96.72 	98.69 	101.52 	102.70 	103.34 	105.39 	107.57 	106.53 	105.12 	105.19 	105.86 	104.35 	103.06 	102.94 	103.83 	102.68 	101.46 	101.69 	102.44 	100.35 	99.39 	99.53 	100.94 	100.14 	99.71 	100.20 	102.35 	101.78 	102.39 	103.40 	105.69 	105.14 	105.39 	106.32 	108.72 	108.51 	108.49 	109.73 p
TOTAL,I15_NSA,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	123.19 	124.01 	126.34 	123.02 	122.58 	118.48 	116.37 	114.28 	112.07 	110.49 	109.52 	109.80 	108.81 	110.53 	111.31 	111.99 	111.36 	109.86 	109.09 	105.40 	105.28 	104.63 	104.97 	103.63 	102.94 	103.82 	103.00 	102.14 	101.05 	99.13 	99.86 	99.96 	101.21 	100.28 	101.31 	100.75 	100.85 	104.55 	105.13 	108.45 	109.44 	109.26 	112.32 	113.54 	117.55 	120.60 
TOTAL,I15_NSA,HU	: 	: 	: 	: 	: 	: 	: 	: 	95.04 	97.35 	101.20 	102.05 	100.55 	101.90 	102.29 	100.29 	99.69 	96.65 	95.05 	92.42 	94.69 	94.21 	93.75 	91.99 	91.73 	90.97 	89.75 	89.34 	90.21 	87.12 	86.39 	84.67 	84.95 	85.14 	85.26 	84.13 	85.75 	87.55 	89.19 	91.22 	93.60 	98.69 	103.06 	104.65 	109.39 	111.97 	115.20 	116.95 	122.24 	125.48 	129.28 	131.96 	138.65 	142.52 	148.49 	152.32 	159.91 	162.46 p
TOTAL,I15_NSA,IE	125.92 	128.58 	133.58 	139.46 	141.99 	147.62 	156.49 	159.91 	162.70 	163.29 	163.07 	162.16 	158.74 	154.41 	150.29 	142.58 	132.58 	123.46 	118.33 	115.58 	111.53 	107.73 	104.59 	99.98 	95.45 	90.50 	85.12 	80.38 	76.76 	75.00 	75.89 	76.50 	74.32 	74.33 	78.52 	80.77 	82.04 	86.62 	93.63 	96.59 	96.43 	98.60 	101.73 	103.25 	103.67 	104.79 	109.33 	112.06 	113.36 	115.86 	122.18 	125.31 	127.34 	130.44 	133.31 	134.32 	132.98 	133.67 p
TOTAL,I15_NSA,IS	53.61 	59.31 	63.41 	66.07 	68.39 	70.83 	71.99 	71.96 	72.34 	75.82 	79.41 	82.20 	83.15 	82.83 	82.45 	80.60 	77.49 	73.72 	72.11 	73.79 	71.56 	71.83 	72.00 	72.70 	72.41 	74.76 	76.35 	77.91 	78.78 	80.45 	81.46 	81.57 	82.12 	84.35 	86.43 	87.93 	89.94 	92.06 	92.98 	94.56 	97.26 	99.42 	100.54 	102.78 	104.94 	106.65 p	110.76 p	116.73 p	122.09 	130.12 p	135.65 p	136.94 p	138.82 	140.52 	143.46 	145.24 	146.19 	147.15 
TOTAL,I15_NSA,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	116.80 	117.90 	118.80 	118.90 	118.30 	120.70 	120.30 	119.50 	119.00 	118.10 	115.90 	113.60 	110.50 	110.20 	108.60 	107.10 	105.70 	104.70 	103.50 	101.90 	99.70 	99.80 	100.70 	99.80 	99.80 	100.50 	100.70 	100.00 	99.10 	99.60 	99.20 	98.80 	98.60 	99.20 	98.40 	98.30 	97.70 	99.00 p
TOTAL,I15_NSA,LT	: 	: 	: 	: 	86.60 	87.40 	96.21 	106.78 	111.26 	115.87 	123.42 	125.67 	129.90 	134.49 	132.09 	122.54 	97.97 	92.79 	88.52 	84.41 	82.75 	84.57 	83.94 	85.55 	89.20 	89.88 	89.67 	90.31 	89.99 	89.05 	89.94 	89.25 	89.86 	91.20 	89.60 	91.92 	93.33 	97.11 	98.68 	96.76 	97.49 	100.49 	102.07 	99.95 	100.78 	103.91 	107.48 	109.43 	111.07 	114.52 	116.66 	116.94 	119.78 	123.00 	124.35 	125.59 	129.20 	131.11 
