unit,indic_il,deg_urb,sex,age,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
EUR,MED_E,DEG1,F,TOTAL,SE	26517 	26105 	25005 	24848 	25601 	25142 	24351 b	21407 	19080 	21736 	21081 b	20056 	19414 	18036 	17983 	: 
EUR,MED_E,DEG1,F,TOTAL,SI	13433 	12866 	12534 	12649 	12300 	11883 	12630 b	12756 	12453 	12509 	11667 	10840 	9893 	9333 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,SK	8454 	7879 	7777 	7477 	7397 	7382 	7844 b	7202 	7123 	6570 	5319 	4331 	3698 	3016 	: 	: 
EUR,MED_E,DEG1,F,TOTAL,UK	20212 p	20076 b	20142 	19788 	19217 	17659 	18553 b	16312 	16160 	15468 	18244 	20273 	18568 	17758 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,AT	24160 	23990 	22343 	22827 	22646 	21315 	20516 b	21014 	21058 	21287 	19759 b	18387 	18638 	19004 	17279 	16433 
EUR,MED_E,DEG1,F,Y18-64,BE	21768 	19940 	19539 	19444 	20472 	20011 	19200 b	20306 	19622 	20098 	18038 	17889 	17548 	16904 	16508 	15844 
EUR,MED_E,DEG1,F,Y18-64,BG	4797 	4872 	4261 b	4437 	4324 	3927 	3633 b	3932 	3891 	3609 	2845 	1825 	1765 	: 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,CH	44818 	45998 	46227 	41114 	40257 b	42842 	40976 b	37138 	33342 	32708 	30113 	30586 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,CY	17112 	16869 	16304 	15934 	16157 	17638 	18838 b	18820 	18290 	18163 	18324 b	17533 	16218 	14866 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,CZ	10178 	9241 	8731 	8394 	8458 	8490 	8705 b	8358 	8026 	8288 	6720 	6255 	5440 	4884 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,DE	22761 	22128 	21519 	20565 	19777 	19503 	19309 b	19965 	19828 	19609 	19360 	18798 	16060 	17126 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,DK	29983 	29997 	28629 	28309 	28796 	26951 	28185 b	28846 b	27455 	26444 	24629 	24519 	23683 	23386 	22619 	22225 
EUR,MED_E,DEG1,F,Y18-64,EA	19892 	19461 e	18838 e	18327 e	18011 e	17938 e	18010 e	18392 e	18641 e	18450 e	18116 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,EA18	19994 	19566 	18944 	18440 	18011 	17857 	17918 	18303 	18501 	18320 	17846 	16472 	15498 	15491 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,EA19	19892 	19461 	18838 	18327 	17899 	17742 	17797 	18183 	18377 	18206 	17727 	16355 	15375 	15362 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,EE	12012 	11526 	10542 	9782 	8952 b	7658 	7176 b	6228 	6510 	7152 	6311 	5015 	4344 	3589 	3009 	: 
EUR,MED_E,DEG1,F,Y18-64,EL	8500 	8324 	8210 	8240 	8400 	8693 	10005 b	12000 	14000 	12875 	12762 	11951 	11449 	10961 	10400 	9894 
EUR,MED_E,DEG1,F,Y18-64,ES	16517 	15905 	15125 	15166 	15048 	15625 	15784 b	16330 	17198 	16976 	16275 b	13546 	13190 	12342 	12171 	: 
EUR,MED_E,DEG1,F,Y18-64,EU	18665 	18226 e	17759 e	17247 e	16789 e	16427 e	16455 e	16220 e	16276 e	16203 e	16234 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,EU27	18723 	18285 	17817 	17302 	16844 	16483 	16514 	16278 	16330 	16203 	16234 	15688 	14590 e	14007 e	: 	: 
EUR,MED_E,DEG1,F,Y18-64,EU28	18665 	18226 	17759 	17247 	16789 	16427 	16454 	16220 	16276 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG1,F,Y18-64,FI	26724 	26021 	26069 	26176 	25541 	25820 	25469 b	24766 	24261 	23610 	22317 	21121 	19977 	19453 	18977 	: 
EUR,MED_E,DEG1,F,Y18-64,FR	22828 	22733 	22541 	22186 	21619 	21281 	21501 b	20113 	20252 	20354 	19539 b	16902 	17003 	16913 	16023 	: 
EUR,MED_E,DEG1,F,Y18-64,HR	8252 	7566 	7275 	6861 	6316 	6532 	6614 b	6660 	7300 	: 	: 	: 	: 	: 	: 	: 
