unit,indic_il,deg_urb,sex,age,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
EUR,MED_E,DEG2,F,Y_GE75,EU28	15614 e	14998 e	14858 e	14596 e	14357 e	14154 	13926 	13675 e	13349 e	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,FI	17449 	16942 	16809 	16373 	16566 	16349 	15399 b	14973 	15929 	14486 	14097 	14685 	12926 	12208 	12015 	: 
EUR,MED_E,DEG2,F,Y_GE75,FR	20090 	19597 	18805 	19117 	18066 	18170 	17787 b	16396 	16037 	16189 	15804 b	13268 	13013 	12892 	12358 	: 
EUR,MED_E,DEG2,F,Y_GE75,HR	4646 	4598 	4640 	4830 	4344 	4254 	4010 b	3951 	4905 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,HU	4836 	4532 	4623 	4197 	4592 	4256 	4195 b	4220 	4001 	4286 	4266 	3555 	3439 	3191 	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,IE	17218 p	17125 	16709 	16030 	16928 	16171 	15736 b	15692 	16660 	16289 	16904 	14479 	13089 	12310 	11808 	11104 
EUR,MED_E,DEG2,F,Y_GE75,IS	: 	: 	20497 u	17711 u	16442 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,IT	16032 	15399 	14952 	14397 b	14717 	14599 	14235 	13924 	13495 	12989 	12953 	12828 	12244 	12142 	12089 	: 
EUR,MED_E,DEG2,F,Y_GE75,LT	: u	: u	: u	: u	3553 	3518 	2761 b	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,LU	42282 	38812 	36959 b	33295 	32691 	32649 	32209 b	35271 	32285 	32894 	30302 u	28869 u	28780 	28693 	26547 	24491 
EUR,MED_E,DEG2,F,Y_GE75,LV	4121 	3720 	3748 	3654 	3497 	3266 	3291 b	3398 u	: u	: u	: u	: u	: u	: u	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,MK	: 	2598 	2178 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,MT	9220 	9840 	9758 u	10809 	9257 u	9081 	8700 b	8404 	7674 u	7525 u	6868 u	7482 u	6054 	5804 u	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,NL	18782 	18358 	18388 b	18210 	17875 	18114 	17703 b	16776 	16714 	15694 	14764 	13791 	13721 	14535 	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,NO	29752 	28888 	28261 	30335 	: 	31893 	28747 b	25460 u	20998 	22567 	21726 	19983 	18868 u	16585 	16555 	: 
EUR,MED_E,DEG2,F,Y_GE75,PL	5942 	5434 	5515 	5275 	5269 	5233 	4728 b	4444 	3909 	4481 	3761 	3200 	2953 	2491 	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,PT	7687 	7727 	6956 	7160 	7033 	6784 	6914 b	6294 	6762 	6369 	5835 	5499 	5012 	4656 	4585 	: 
EUR,MED_E,DEG2,F,Y_GE75,RO	2820 	2445 	2275 	2153 	2107 	1935 	1944 b	: u	: u	: u	: u	: u	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,RS	2505 	2144 	2041 	2182 	2333 	2175 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,SE	17685 	17168 	17222 	17147 	18178 	17478 	16002 b	14966 	13392 	13678 	14032 b	13059 	12434 	13336 	12312 	: 
EUR,MED_E,DEG2,F,Y_GE75,SI	9991 	9991 	9671 	10179 	10040 	9708 	9774 b	8959 	8773 	8595 	8028 	7141 	6908 	6433 	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,SK	6280 	6068 	6115 	6058 	5564 	5898 	5788 b	5480 	5066 	4496 	3555 	3047 	2549 	2274 	: 	: 
EUR,MED_E,DEG2,F,Y_GE75,UK	17229 p	16674 b	17534 	18034 	16256 	15812 	15474 b	13054 	12469 	12394 	13533 	15174 	14107 	13500 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,AT	22937 	20716 	19781 	19032 	19500 	19608 	19848 b	20106 	19611 	19784 	18279 b	17410 	15978 	15984 	15713 	14261 
EUR,MED_E,DEG2,F,Y_LT18,BE	24446 	23533 	23235 	21554 	22866 	22759 	21028 b	20661 	19766 	19309 	19424 	18498 	18296 	17056 	15471 	16080 
EUR,MED_E,DEG2,F,Y_LT18,BG	3262 	3118 	2699 b	2926 	2853 	2466 	2237 b	2191 	2884 	2511 	2367 	1467 	1360 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,CH	37557 	38852 	40904 	35827 	35366 b	38037 	34951 b	30044 	26811 	24802 	22831 	23545 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,CY	13044 	12645 	11688 	11361 	13437 	14124 	15081 b	14392 	14297 	15900 	15606 b	16090 	14534 	12564 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,CZ	8768 	8107 	7334 	6762 	7103 	7169 	7131 b	7005 	6542 	6918 	5648 	5050 	4294 	3895 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,DE	22598 	21214 	19721 	20126 	19305 	19032 	19511 b	18502 	18110 	17760 	17720 	16788 	14597 	15092 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,DK	30092 	31563 	31286 	33042 	31234 	30735 	26302 b	26829 b	26256 	25910 	24562 	23336 	23491 	22880 	21581 	20668 
EUR,MED_E,DEG2,F,Y_LT18,EA	18443 e	17729 e	17156 e	16827 e	16864 e	16547 e	16507 e	16361 e	16144 e	16042 e	16097 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,EA18	18450 	17739 	17159 	16830 	16864 	16527 	16487 	16356 e	16135 e	16032 e	15890 e	14851 e	13813 e	13629 e	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,EA19	18443 e	17729 e	17156 e	16827 e	16831 	16484 	16450 	16356 e	16135 e	16032 e	15890 e	14921 e	13813 e	13629 e	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,EE	13419 	9303 	8799 	7991 	7903 b	6022 	5671 b	8328 u	7228 u	6721 u	4921 u	4963 u	: u	: u	: u	: 
EUR,MED_E,DEG2,F,Y_LT18,EL	7828 	7206 	6933 	7062 	7677 	7858 	9288 b	11487 	14065 	13248 	12553 	10394 	9069 	: u	: u	9019 
EUR,MED_E,DEG2,F,Y_LT18,ES	11891 	12534 	12230 	11840 	11257 	11431 	11563 b	11009 	11872 	11875 	11310 b	10091 	9585 	8542 	8577 	: 
EUR,MED_E,DEG2,F,Y_LT18,EU	16997 e	16602 e	16106 e	15743 e	15804 e	15012 e	14787 e	15741 e	15518 e	15449 e	15282 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,EU27	17078 e	16689 e	16192 e	15824 e	15883 	15092 	14850 	15806 e	15581 e	15449 e	15282 e	14636 e	13631 e	13324 e	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,EU28	16997 e	16602 e	16106 e	15743 e	15804 	15012 	14788 	15741 e	15518 e	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,FI	22255 	23030 	22911 	22921 	22573 	22882 	23410 b	22634 	20889 	21189 	19308 	18927 	19254 	17746 	16373 	: 
EUR,MED_E,DEG2,F,Y_LT18,FR	19734 	19479 	19389 	18455 	19097 	17990 	18861 b	18660 	18345 	18350 	17646 b	15906 	15428 	15273 	14561 	: 
EUR,MED_E,DEG2,F,Y_LT18,HR	6746 	5942 	5642 	5328 	5014 	4831 	5041 b	5587 	6053 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,HU	4804 	4034 	4131 	4167 	3871 	4064 	4468 b	4055 	3811 	4262 	4040 	3756 	3828 	3209 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,IE	21300 p	19541 	19901 	17782 	17639 	18208 	17063 b	16503 	16940 	19247 	22290 	19464 	18170 	17633 	16449 	15784 
EUR,MED_E,DEG2,F,Y_LT18,IS	: 	: 	23814 	22375 	19530 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,IT	15178 	14710 	14482 	14118 b	14701 	14004 	13761 	14177 	13740 	13552 	14344 	14367 	12967 	12488 	11849 	: 
EUR,MED_E,DEG2,F,Y_LT18,LT	: u	5190 u	: u	: u	3858 	3777 	4034 b	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,LU	33338 	28567 	25187 b	28927 	24811 	25287 	24985 b	33069 	32822 	31095 	32092 	31057 	30601 	29835 	26674 	25849 
EUR,MED_E,DEG2,F,Y_LT18,LV	7193 	6425 	6498 	5186 	4836 	4044 	5425 b	5494 u	3881 u	7080 u	5842 u	3378 u	: u	: u	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,MK	: 	2172 	2047 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,MT	15262 	14548 	13530 	13231 	11478 	9912 	9772 b	9048 	7873 	8810 	7930 	8106 	7878 	7392 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,NL	25396 	23616 	22186 b	20850 	20027 	19614 	19626 b	18020 	18157 	17846 	17264 	15661 	15516 	14866 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,NO	39820 	37626 	38904 	39856 	: 	38733 	38028 b	34625 	30387 	30400 	29882 	27670 	26336 	24245 	24108 	: 
EUR,MED_E,DEG2,F,Y_LT18,PL	6976 	6144 	6143 	5555 	5310 	5179 	5000 b	4645 	4010 	4411 	3531 	2933 	2571 	2195 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,PT	8940 	8713 	8179 	8062 	7867 	7629 	7568 b	7588 	7721 	7020 	7272 	6552 	6410 	6029 	5780 	: 
EUR,MED_E,DEG2,F,Y_LT18,RO	3229 	2833 	2469 	2178 	2021 	1854 	1969 b	: u	: u	: u	: u	: u	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,RS	2696 	2458 	2393 	2376 	2306 	2185 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,SE	23511 	24821 	24619 	25294 	23914 	25042 	24128 b	22607 	19661 	20859 	20294 b	17742 	16621 	17867 	16805 	: 
EUR,MED_E,DEG2,F,Y_LT18,SI	13307 	12666 	12525 	12734 	12560 	12458 	12361 b	11768 	12023 	11734 	10816 	9707 	9079 	8707 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,SK	6699 	6261 	6131 	5940 	5989 	6251 	6358 b	5743 	5625 	5176 	4406 	3738 	3230 	2712 	: 	: 
EUR,MED_E,DEG2,F,Y_LT18,UK	19050 p	19751 b	19433 	18955 	19684 	16563 	16684 b	16519 	17327 	16221 	17190 	20125 	19995 	20080 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,AT	26366 	25825 	24438 	23510 	24588 	23474 	23240 b	23212 	22452 	21144 	20798 b	19232 	18486 	18339 	17349 	15847 
EUR,MED_E,DEG2,M,TOTAL,BE	25500 	24527 	24087 	23144 	23341 	23462 	21906 b	21030 	20613 	19803 	19107 	18564 	18253 	17544 	16310 	16470 
EUR,MED_E,DEG2,M,TOTAL,BG	3740 	3584 	3181 b	3299 	3255 	2906 	2839 b	2658 	2966 	2792 	2224 	1547 	1479 	: 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,CH	43971 	45570 	46404 	40831 	39559 b	43127 	41251 b	34904 	31536 	29650 	27009 	28345 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,CY	14497 	13417 	12814 	12686 	14159 	15029 	16144 b	16596 	15502 	15036 	15825 b	15808 	14534 	12456 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,CZ	9250 	8318 	8023 	7426 	7649 	7647 	7695 b	7520 	7093 	7249 	6152 	5488 	4932 	4404 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,DE	24094 	23029 	22247 	21822 	20897 	20808 	20790 b	19689 	19540 	19375 	19265 	18252 	16096 	16667 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,DK	31047 	29977 	30229 	30883 	29821 	29486 	28536 b	28021 b	26716 	26137 	25309 	23921 	23639 	23603 	22359 	22351 
EUR,MED_E,DEG2,M,TOTAL,EA	20256 	19632 e	19206 e	18613 e	18527 e	18526 e	18290 e	17976 e	17990 e	17776 e	17598 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,EA18	20264 	19640 	19213 	18615 	18527 	18505 	18272 	17969 	17980 	17766 	17375 	16120 	15194 	15164 e	: 	: 
EUR,MED_E,DEG2,M,TOTAL,EA19	20256 	19632 	19206 	18613 	18490 	18470 	18233 	17969 	17980 	17766 	17375 	16208 	15194 	15164 e	: 	: 
EUR,MED_E,DEG2,M,TOTAL,EE	12074 	9610 	8826 	7931 	7078 b	6496 	6012 b	7422 	5894 	7842 	6220 	5568 	4577 	3527 u	3313 	: 
EUR,MED_E,DEG2,M,TOTAL,EL	8331 	7876 	7959 	7900 	8226 	9331 	10091 b	12000 	13632 	13044 	12650 	11791 	11899 	10800 u	10287 u	10000 
EUR,MED_E,DEG2,M,TOTAL,ES	15022 	14468 	13817 	13403 	13208 	13411 	13591 b	13237 	13527 	14428 	13536 b	11651 	10840 	10480 	10109 	: 
EUR,MED_E,DEG2,M,TOTAL,EU	18654 	18025 e	17768 e	17471 e	17265 e	16770 e	16491 e	17051 e	17109 e	16953 e	16775 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,EU27	18752 	18129 	17867 	17562 	17358 	16863 	16554 	17115 	17179 	16953 	16775 	15958 	14956 e	14715 e	: 	: 
EUR,MED_E,DEG2,M,TOTAL,EU28	18654 	18025 	17768 	17471 	17265 	16770 	16491 	17051 	17109 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,FI	24424 	24044 	24042 	23938 	24063 	23836 	23391 b	23064 	22169 	22158 	20624 	19906 	19588 	18016 	17266 	: 
EUR,MED_E,DEG2,M,TOTAL,FR	21878 	21675 	21907 	21326 	22019 	20848 	20183 b	20895 	20884 	20317 	19389 b	17011 	16578 	16290 	15689 	: 
EUR,MED_E,DEG2,M,TOTAL,HR	6882 	6332 	5878 	5689 	5574 	5225 	5568 b	5683 	6075 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,HU	5482 	4938 	4858 	4546 	4556 	4550 	4945 b	4585 	4334 	4785 	4538 	4225 	4080 	3529 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,IE	23367 p	20935 	21136 	20032 	19591 	19473 	18595 b	19784 	21886 	22680 	23338 	22947 	19425 	19605 	18668 	17012 
EUR,MED_E,DEG2,M,TOTAL,IS	: 	: 	26527 	23212 	21264 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,IT	17268 	16945 	16709 	16103 b	16287 	16483 	16578 	16313 	16352 	16069 	16058 	15651 	15079 	14683 	14032 	: 
EUR,MED_E,DEG2,M,TOTAL,LT	7687 	5652 	6352 	6375 	5038 	4558 	4645 b	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,LU	37987 	32619 	29275 b	31326 	30678 	28892 	28903 b	36835 	36614 	36932 	35177 	33958 	32997 	31817 	29949 	27348 
EUR,MED_E,DEG2,M,TOTAL,LV	7104 	6605 	6640 	5840 	5846 	5117 	5259 b	5123 	5368 	7844 	6781 	4041 	2737 	2557 u	: 	: 
EUR,MED_E,DEG2,M,TOTAL,MK	: 	2503 	2357 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,MT	15661 	14566 	13933 	13439 	12740 	11613 	11214 b	10867 	11060 	10248 	10024 	9602 	8655 	8609 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,NL	24818 	24633 	23453 b	22186 	21479 	21782 	21288 b	19837 	19895 	19661 	19245 	18071 	17288 	17197 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,NO	41350 	40378 	41724 	43141 	: 	41106 	39652 b	35780 	32194 	33158 	31479 	29276 	28546 	25380 	26580 	: 
EUR,MED_E,DEG2,M,TOTAL,PL	6883 	6198 	6360 	5895 	5703 	5520 	5320 b	4857 	4348 	5043 	4041 	3398 	3002 	2424 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,PT	9476 	9230 	8970 	8687 	8544 	8279 	8530 b	7869 	8153 	7712 	7462 	7355 	7215 	6960 	6602 	: 
EUR,MED_E,DEG2,M,TOTAL,RO	3656 	2958 	2635 	2485 	2401 	2261 	2301 b	2266 	2143 	2375 	2429 	1899 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,RS	2958 	2729 	2546 	2491 	2546 	2429 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,SE	26084 	25976 	26039 	26347 	26436 	25815 	25331 b	23609 	20894 	22046 	21703 b	20581 	19305 	19098 	18424 	: 
EUR,MED_E,DEG2,M,TOTAL,SI	13640 	13234 	12704 	12640 	12146 	12230 	12449 b	12322 	12277 	12356 	11407 	10356 	9738 	9237 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,SK	7735 	7250 	6927 	6946 	6918 	6784 	7074 b	6296 	6038 	5697 	4885 	4050 	3425 	2982 	: 	: 
EUR,MED_E,DEG2,M,TOTAL,UK	22011 p	21807 b	21698 	22716 	22058 	19421 	19310 b	17399 	19141 	17766 	20307 	23031 	21755 	21352 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,AT	27734 	27269 	25627 	25259 	26435 	24738 	24624 b	24447 	23741 	22654 	21711 b	20379 	19654 	19283 	18163 	16455 
EUR,MED_E,DEG2,M,Y18-64,BE	27011 	26051 	25546 	24836 	25494 	25271 	23435 b	22421 	21762 	21316 	20277 	19613 	19016 	18733 	17475 	17332 
EUR,MED_E,DEG2,M,Y18-64,BG	3955 	3955 	3365 b	3507 	3524 	3154 	3025 b	2769 	3107 	3103 	2473 	1666 	1567 	: 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,CH	47692 	49110 	49731 	43524 	42429 b	45616 	44879 b	38422 	34336 	32731 	29193 	31557 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,CY	15315 	13819 	13030 	13541 	14538 	16139 	17322 b	17653 	16383 	16782 	17028 b	16784 	15090 	13127 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,CZ	9911 	8889 	8624 	7980 	8246 	8234 	8292 b	7878 	7577 	7910 	6631 	6020 	5227 	4649 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,DE	26078 	24859 	23965 	23404 	22102 	21904 	22173 b	21113 	20875 	20814 	20327 	19503 	16906 	17745 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,DK	32946 	31563 	31791 	32987 	31661 	31665 	31036 b	30630 b	28455 	27620 	26676 	25873 	25461 	24955 	23849 	23685 
EUR,MED_E,DEG2,M,Y18-64,EA	21261 	20573 e	20075 e	19422 e	19261 e	19174 e	19164 e	18851 e	18826 e	18727 e	18480 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,EA18	21271 	20583 	20084 	19425 	19261 	19153 	19143 	18843 	18815 	18716 	18235 	16955 e	15964 e	16082 e	: 	: 
EUR,MED_E,DEG2,M,Y18-64,EA19	21261 	20573 	20075 	19422 e	19221 	19112 	19101 	18843 	18815 	18716 	18235 	17062 e	15964 e	16082 e	: 	: 
EUR,MED_E,DEG2,M,Y18-64,EE	12737 	10495 	9696 	8829 	7606 b	7037 	6526 b	7538 	6274 	8522 	6220 	5760 	4861 	3212 u	3394 u	: 
EUR,MED_E,DEG2,M,Y18-64,EL	8411 	7900 	8027 	7972 	8539 	9360 	9775 b	12483 	14140 	13600 	13040 	12700 	12110 	: u	12137 u	10448 
EUR,MED_E,DEG2,M,Y18-64,ES	15223 	14692 	14011 	13596 	13568 	13710 	14195 b	13599 	14305 	15051 	14374 b	12400 	11698 	11216 	10871 	: 
EUR,MED_E,DEG2,M,Y18-64,EU	19438 	18764 e	18479 e	18171 e	17976 e	17338 e	17108 e	17946 e	17858 e	17791 e	17612 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,EU27	19547 	18878 	18589 	18271 e	18078 	17438 	17175 	18017 	17936 	17791 	17612 	16805 e	15722 e	15530 e	: 	: 
EUR,MED_E,DEG2,M,Y18-64,EU28	19438 	18764 	18479 	18171 e	17976 	17338 	17109 	17946 	17858 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,FI	25578 	25557 	25297 	24826 	25392 	25075 	24526 b	24618 	23207 	22901 	22037 	20887 	20260 	19179 	18086 	: 
EUR,MED_E,DEG2,M,Y18-64,FR	22508 	22167 	22381 	21530 	22324 	21255 	20843 b	21489 	21306 	20891 	20096 b	17754 	17213 	17244 	16579 	: 
EUR,MED_E,DEG2,M,Y18-64,HR	7135 	6631 	6131 	5870 	5734 	5457 	5721 b	5720 	6351 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,HU	5569 	5108 	4913 	4574 	4621 	4638 	5056 b	4685 	4399 	4835 	4655 	4341 	4225 	3588 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,IE	24306 p	22543 	22078 	21415 	20545 	20544 	18938 b	20284 	22535 	23412 	24881 	23950 	21362 	21692 	20335 	18786 
EUR,MED_E,DEG2,M,Y18-64,IS	: 	: 	28314 	24790 	22654 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,IT	18001 	17676 	17363 	16918 b	16879 	17019 	17399 	17319 	17277 	17167 	17103 	16575 	16152 	15770 	14893 	: 
EUR,MED_E,DEG2,M,Y18-64,LT	7722 	5652 	6352 	6758 u	5520 	4895 	4883 b	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,LU	38727 	33024 	29607 b	31299 	31084 	30821 	29176 b	37858 	39433 	38257 	35754 	35527 	34096 	32727 	31075 	29191 
EUR,MED_E,DEG2,M,Y18-64,LV	7710 	7202 	7292 	6161 	6172 	6023 	5566 b	5569 	5505 	8117 	7715 	4269 u	2887 u	2561 u	: 	: 
EUR,MED_E,DEG2,M,Y18-64,MK	: 	2556 	2483 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,MT	16828 	16164 	15262 	14206 	13199 	12690 	12409 b	11886 	12265 	12192 	11599 	10436 	9988 	9647 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,NL	26718 	26251 	25114 b	23302 	22716 	22795 	22721 b	21146 	21250 	21393 	20898 	19330 	18706 	18535 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,NO	43545 	42759 	43954 	45299 	: 	42957 	41298 b	39006 	34854 	35607 	33368 	30676 	29554 	27012 	28025 	: 
EUR,MED_E,DEG2,M,Y18-64,PL	7086 	6356 	6452 	5987 	5789 	5685 	5480 b	4975 	4431 	5243 	4126 	3454 	3063 	2449 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,PT	9671 	9408 	9250 	8862 	8780 	8547 	8767 b	8435 	8727 	8075 	7864 	7694 	7440 	7306 	7054 	: 
EUR,MED_E,DEG2,M,Y18-64,RO	3811 	3096 	2794 	2550 	2482 	2252 	2255 b	2266 	2118 	2345 	2429 	1899 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,RS	2970 	2707 	2485 	2428 	2483 	2420 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,SE	27623 	27558 	28359 	28346 	28299 	27996 	26138 b	24626 	21552 	23272 	22941 b	21359 	20260 	20372 	19443 	: 
EUR,MED_E,DEG2,M,Y18-64,SI	14020 	13602 	12935 	12790 	12408 	12463 	12667 b	12529 	12458 	12781 	11564 	10555 	10003 	9402 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,SK	8116 	7499 	7254 	7298 	7423 	7159 	7639 b	6820 	6424 	6104 	5194 	4345 	3631 	3140 	: 	: 
EUR,MED_E,DEG2,M,Y18-64,UK	23358 p	23308 b	23333 	24622 	24469 	21407 	20577 b	19622 	21002 	19034 	22486 	25245 	23720 	22884 	: 	: 
EUR,MED_E,DEG2,M,Y_GE18,AT	27354 	26877 	25402 	24975 	25683 	24329 	24148 b	23919 	23180 	22255 	21180 b	20056 	19600 	19283 	17979 	16504 
EUR,MED_E,DEG2,M,Y_GE18,BE	25580 	24569 	23837 	23365 	23609 	23833 	22134 b	21177 	20866 	20070 	19242 	18686 	18246 	17765 	16607 	16444 
EUR,MED_E,DEG2,M,Y_GE18,BG	3800 	3671 	3292 b	3332 	3394 	3032 	2934 b	2769 	3084 	2971 	2337 	1583 	1505 	: 	: 	: 
EUR,MED_E,DEG2,M,Y_GE18,CH	45934 	47366 	48000 	41783 	40915 b	44070 	42951 b	36713 	32835 	31505 	28594 	30245 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,Y_GE18,CY	14856 	13719 	12954 	13274 	14297 	15721 	16865 b	17250 	16082 	15955 	16482 b	16204 	14612 	12629 	: 	: 
EUR,MED_E,DEG2,M,Y_GE18,CZ	9327 	8356 	8163 	7499 	7840 	7839 	7899 b	7606 	7240 	7469 	6313 	5661 	5049 	4463 	: 	: 
EUR,MED_E,DEG2,M,Y_GE18,DE	24393 	23539 	22661 	22284 	21268 	21015 	21207 b	20196 	19982 	19917 	19626 	18779 	16382 	17223 	: 	: 
EUR,MED_E,DEG2,M,Y_GE18,DK	31126 	29587 	29553 	30513 	30030 	29810 	28881 b	28384 b	27009 	26301 	25323 	24385 	24129 	23746 	22893 	22981 
EUR,MED_E,DEG2,M,Y_GE18,EA	20664 	20101 e	19615 e	19056 e	18925 e	18874 e	18741 e	18423 e	18404 e	18223 e	17991 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,Y_GE18,EA18	20672 	20109 	19622 	19059 	18925 	18854 	18722 	18416 	18393 	18213 	17765 	16490 	15488 	15592 e	: 	: 
EUR,MED_E,DEG2,M,Y_GE18,EA19	20664 	20101 	19615 	19056 e	18888 	18816 	18683 	18416 	18393 	18213 	17765 	16585 	15488 	15592 e	: 	: 
EUR,MED_E,DEG2,M,Y_GE18,EE	12000 	9876 	8988 	7974 	7041 b	6546 	6127 b	7472 	5879 	8129 	6370 	5601 	4602 	3100 u	3320 u	: 
EUR,MED_E,DEG2,M,Y_GE18,EL	8510 	8024 	8178 	8136 	8467 	9433 	10013 b	12000 	13417 	13248 	12746 	12222 	11850 	: u	11424 u	10154 
EUR,MED_E,DEG2,M,Y_GE18,ES	15163 	14864 	14194 	13815 	13692 	13742 	13984 b	13490 	14060 	14860 	13941 b	12050 	11145 	10848 	10519 	: 
EUR,MED_E,DEG2,M,Y_GE18,EU	19018 	18447 e	18147 e	17852 e	17677 e	17096 e	16862 e	17506 e	17493 e	17351 e	17146 e	: 	: 	: 	: 	: 
EUR,MED_E,DEG2,M,Y_GE18,EU27	19122 	18556 	18250 	17945 e	17772 	17190 	16925 	17571 	17566 	17351 	17146 	16314 	15249 e	15090 e	: 	: 
